GC,Mean_Loss-Fixed,Mean_GFS_Fixed,Mean_Loss_Random,Mean_GFS_Random,Mean_random_egfs_loss
0.000000,398.954098,[ 4.9262 19.3292 0.2506 29.8522 0.3316 25.2626 0.2502 16.1212 3.983 200.8592],123.849087,[ 42.9934 26.7654 16.8268 23.034 21.2262 20.3784 13.0116 19.21 27.4128 153.0242],138.573571
0.000100,349.473967,[ 7.7106 21.8212 0.623 35.4478 5.7724 28.3956 0.5614 17.8842 5.3302 190.2264],104.711700,[ 43.0082 31.7056 13.7628 26.5466 27.2478 23.8754 11.1138 22.811 25.0778 146.993 ],125.130206
0.000200,328.618769,[ 6.2558 28.7232 2.103 45.78 0.9654 36.0646 1.8922 22.1722 4.3302 178.9518],164.492905,[ 39.4778 24.9554 24.34 17.6684 10.425 15.9776 19.6966 18.969 25.8728 158.9594],159.282909
0.000300,327.274549,[ 8.2292 27.1986 1.573 45.4828 0.6516 37.035 1.3226 20.6272 6.2214 178.97 ],142.870617,[ 47.2134 29.1058 22.3938 21.7996 12.6752 19.495 17.2946 22.0182 28.8166 149.6918],122.895984
0.000400,281.451000,[ 11.8858 37.4496 2.864 39.1894 1.0634 29.8706 2.6878 29.7922 8.1586 172.762 ],166.913766,[ 51.9448 28.3784 21.1028 14.4324 15.8378 13.304 20.0938 20.6344 32.2434 150.3344],126.727174
0.000500,267.934051,[ 12.315 34.0032 5.7186 45.7264 3.7892 34.8934 4.0622 25.0116 8.2696 168.0096],151.417864,[ 48.8588 30.9338 21.6616 17.6336 19.2942 15.62 19.6776 22.0448 29.5728 147.2982],115.007346
0.000600,285.471659,[ 8.291 33.102 6.6834 52.5266 1.8604 40.094 5.2428 24.4278 5.4946 165.255 ],230.724221,[ 51.6636 26.2124 18.8086 15.3826 17.6008 14.163 16.2494 20.5984 34.0572 151.1388],131.461213
0.000700,260.424353,[ 15.3334 31.2736 6.288 47.7778 2.5964 37.0678 5.0952 22.6986 10.5174 165.4458],109.629801,[ 44.2642 24.7106 25.6664 22.8276 14.8128 21.6254 20.6152 17.5456 28.0426 148.9602],124.509904
0.000800,232.032966,[ 17.4562 35.189 10.3382 46.9264 2.4322 35.7974 7.7022 24.725 11.0126 160.4582],136.093549,[ 50.341 21.928 23.0036 20.871 30.8636 18.476 18.081 15.9242 30.268 145.2592],115.999478
0.000900,228.772556,[ 17.216 31.5792 10.2862 45.5196 5.5054 35.2972 8.953 22.4844 11.4452 161.2054],158.365955,[ 45.1284 33.2852 26.4246 13.9568 15.9304 13.963 23.8026 24.2974 27.7046 146.7726],118.650197
0.001000,258.890916,[ 10.7728 44.2412 5.587 45.9752 1.4766 36.6082 4.6788 31.3358 6.9904 161.7 ],291.585274,[ 42.3144 31.5676 23.9324 9.5058 14.0568 10.284 21.5726 24.6946 27.2412 154.9368],149.528810
0.001100,199.571810,[ 17.293 32.4334 16.5336 42.675 11.7306 35.4424 11.8814 21.609 10.3852 156.2534],64.229055,[ 42.5036 26.3584 21.607 22.457 20.9006 20.2162 17.4608 17.4434 26.7824 151.122 ],130.204259
0.001200,233.934800,[ 14.7552 34.1858 9.584 41.406 7.9892 33.6302 7.4144 23.8022 9.7622 164.3072],105.514442,[ 54.9886 30.8492 21.106 20.9486 22.5444 18.794 18.1128 21.0446 34.0546 139.7108],92.760417
0.001300,219.972757,[ 18.4454 33.426 8.7494 43.2576 10.357 33.064 7.407 22.9702 11.663 161.4076],77.558636,[ 43.9988 32.6142 22.9146 21.1612 17.2404 18.6088 19.0874 23.855 26.4756 146.9458],114.875229
