HGT,Mean_Loss-Fixed,Mean_GFS_Fixed,Mean_Loss_Random,Mean_GFS_Random,Mean_random_egfs_loss
0.000000,11959.516606,[ 357.8125 1398.29166667 38.5 2192.95833333 46.25 1719.66666667 37.08333333 1085.95833333 263.58333333 6470.1875 ],11543.329947,[3596.97916667 2075.27083333 1128.20833333 934.22916667 1182.29166667 911.89583333 1085.52083333 1348.95833333 1538.77083333 3879.91666667],490.417742
0.000010,16810.054147,[ 357.64583333 581.83333333 15.52083333 912.89583333 18.29166667 717.77083333 16.45833333 455.83333333 330.72916667 8318.97916667],8437.765769,[3040.58333333 1189.25 1033.5625 576.39583333 458.6875 554.22916667 839.29166667 833.22916667 1886. 5226.5625 ],3328.183166
0.000020,23255.647694,[3.55166667e+02 8.77708333e+01 2.37500000e+00 1.38666667e+02 2.75000000e+00 1.08000000e+02 2.06250000e+00 7.22083333e+01 3.74583333e+02 9.41822917e+03],7181.032774,[2788.66666667 495.77083333 401. 425.14583333 270.33333333 339.58333333 349.60416667 539.9375 2113.8125 6312.58333333],7972.829233
0.000030,22850.824909,[3.51729167e+02 1.18895833e+02 3.64583333e+00 1.81791667e+02 3.60416667e+00 1.40916667e+02 3.37500000e+00 9.27708333e+01 3.68041667e+02 9.36233333e+03],6152.013618,[2538.45833333 727.97916667 297.91666667 382.9375 242.35416667 343.39583333 271.29166667 620.125 1810.4375 6610.5 ],8446.983089
0.000040,23764.909189,[3.53416667e+02 5.90208333e+01 1.56250000e+00 9.13541667e+01 2.04166667e+00 7.16250000e+01 1.64583333e+00 5.12500000e+01 3.68333333e+02 9.49227083e+03],4627.309876,[2372.60416667 353.3125 163.64583333 135.04166667 102.47916667 125.27083333 175.5 382.16666667 1889.85416667 7263.41666667],12069.454414
0.000050,24649.219032,[3.47166667e+02 5.62500000e-01 2.08333333e-02 6.25000000e-02 0.00000000e+00 6.25000000e-02 4.16666667e-02 6.64583333e+00 3.74541667e+02 9.59839583e+03],4739.280289,[2085.97916667 158.72916667 307.83333333 270.41666667 231.27083333 222.45833333 190.95833333 238.54166667 1693.91666667 7394.875 ],12240.599224
0.000060,24669.902238,[3.49791667e+02 5.83333333e-01 0.00000000e+00 2.08333333e-02 0.00000000e+00 1.25000000e-01 8.33333333e-02 6.54166667e+00 3.80125000e+02 9.60845833e+03],2934.700070,[1695.9375 162.41666667 85.3125 47.75 118.9375 41.72916667 64.52083333 209.875 1519.64583333 8064.29166667],15786.581050
0.000070,24742.461154,[3.46895833e+02 7.08333333e-01 0.00000000e+00 2.70833333e-01 0.00000000e+00 1.04166667e-01 8.33333333e-02 6.31250000e+00 3.74979167e+02 9.62610417e+03],2954.562513,[1764.77083333 120.72916667 90.89583333 27.64583333 63.89583333 29.25 119.22916667 175.95833333 1548.10416667 8038.52083333],15827.705732
0.000080,24684.590340,[3.43583333e+02 7.29166667e-01 0.00000000e+00 1.66666667e-01 2.08333333e-02 2.08333333e-01 6.25000000e-02 6.37500000e+00 3.68416667e+02 9.60425000e+03],2616.304946,[1571.39583333 150.41666667 47.9375 125.72916667 21.29166667 65.89583333 37.4375 175.125 1445.58333333 8186.9375 ],16458.706962
0.000090,24830.574444,[3.36291667e+02 6.25000000e-01 0.00000000e+00 1.66666667e-01 0.00000000e+00 1.66666667e-01 2.08333333e-02 5.62500000e+00 3.67937500e+02 9.64264583e+03],3126.284191,[1628.64583333 301.89583333 118.54166667 86.58333333 47.22916667 79.10416667 107.5 275.47916667 1409.125 8020.1875 ],15266.455381
0.000100,24858.892459,[3.32312500e+02 8.95833333e-01 0.00000000e+00 2.91666667e-01 0.00000000e+00 1.66666667e-01 1.04166667e-01 6.35416667e+00 3.65791667e+02 9.64856250e+03],1794.528290,[1.40660417e+03 1.09583333e+01 1.25000000e-01 6.25000000e-02 8.33333333e-02 2.70833333e-01 4.68750000e+00 9.92916667e+01 1.36447917e+03 8.54952083e+03],18635.663781
0.000110,24714.490442,[3.33208333e+02 6.45833333e-01 0.00000000e+00 2.29166667e-01 0.00000000e+00 1.87500000e-01 6.25000000e-02 6.35416667e+00 3.62333333e+02 9.60462500e+03],1852.437975,[1.43025000e+03 1.02291667e+01 1.45833333e-01 4.16666667e-02 6.25000000e-02 1.25000000e-01 4.22916667e+00 9.92291667e+01 1.39702083e+03 8.50000000e+03],18461.296685
