HGT,Mean_Loss-Fixed,Mean_GFS_Fixed,Mean_Loss_Random,Mean_GFS_Random,Mean_random_egfs_loss
0.000000,6313.969625,[ 459.8125 1045.14583333 220.91666667 1321.33333333 26.60416667 94.16666667 15.625 48.79166667 5.85416667 13.02083333],6070.550171,[2.68525000e+03 1.18956250e+03 6.05687500e+02 2.85500000e+02 1.32104167e+02 9.06875000e+01 4.65208333e+01 3.04166667e+01 5.56250000e+00 1.47916667e+00],70.594873
0.000010,128127.370606,[421.375 416.16666667 86.95833333 524.25 10.85416667 37.91666667 9.79166667 49.52083333 163.39583333 412.04166667],6742.547209,[2456.1875 682.75 330.625 150.125 102.875 100.875 121.89583333 143.25 112.41666667 39.33333333],4420.484271
0.000020,229048.423739,[394.35416667 201.29166667 40.4375 250.29166667 4.91666667 17.58333333 7.08333333 49.25 221.27083333 553.20833333],5521.218677,[2162.5 478. 200.20833333 93.91666667 59.41666667 73.16666667 132.91666667 209.16666667 202.39583333 72.41666667],13211.011231
0.000030,317200.479355,[382.39583333 43.60416667 9.29166667 55.33333333 1.22916667 4.35416667 5.125 49.5625 259.8125 651.70833333],5936.063290,[2127.16666667 359.89583333 230.64583333 86.52083333 67.95833333 83. 139.95833333 206.47916667 195.70833333 88.33333333],14702.819458
0.000040,347484.690631,[3.80020833e+02 5.83333333e-01 2.08333333e-02 4.16666667e-02 0.00000000e+00 2.08333333e-01 4.93750000e+00 4.66458333e+01 2.69250000e+02 6.82479167e+02],5845.447057,[2112.14583333 304.375 122.79166667 75.77083333 46.89583333 74.60416667 145.6875 234.04166667 223.29166667 97.5625 ],18662.886063
0.000050,341971.528069,[3.81708333e+02 6.87500000e-01 2.08333333e-02 4.16666667e-02 6.25000000e-02 2.08333333e-01 4.97916667e+00 4.92708333e+01 2.70166667e+02 6.76708333e+02],3724.751977,[1780.85416667 96.79166667 48.20833333 31.54166667 22.20833333 52.64583333 147.3125 273.5 301.64583333 140.27083333],34208.821855
0.000060,347542.533321,[3.74750000e+02 6.87500000e-01 2.08333333e-02 6.25000000e-02 2.08333333e-02 5.62500000e-01 5.08333333e+00 4.83958333e+01 2.65666667e+02 6.82833333e+02],3837.102713,[1772.54166667 132.45833333 77.72916667 38.47916667 19.52083333 54.3125 146.66666667 266.66666667 283.1875 140.27083333],32189.830826
0.000070,349764.994481,[3.71666667e+02 7.08333333e-01 0.00000000e+00 1.04166667e-01 2.08333333e-02 3.95833333e-01 5.31250000e+00 4.82916667e+01 2.61000000e+02 6.85500000e+02],2965.954750,[1591.9375 74.6875 20.4375 11.3125 22.70833333 51.70833333 140.39583333 266.83333333 321.58333333 172.08333333],43281.538210
0.000080,348264.487456,[3.74083333e+02 5.83333333e-01 0.00000000e+00 1.25000000e-01 2.08333333e-02 3.33333333e-01 4.87500000e+00 4.75625000e+01 2.63854167e+02 6.83729167e+02],2380.618364,[1485.95833333 18.08333333 14.22916667 7.39583333 14.75 41.5 128.70833333 268.79166667 337.33333333 203.08333333],53430.894134
0.000090,345106.607189,[3.67479167e+02 8.75000000e-01 4.16666667e-02 1.87500000e-01 0.00000000e+00 2.70833333e-01 4.95833333e+00 4.72083333e+01 2.70312500e+02 6.79916667e+02],2327.966644,[1428.85416667 31.125 7.85416667 6.35416667 13.08333333 37.83333333 120.08333333 267.9375 352.64583333 201.625 ],54675.845530
0.000100,337857.837166,[3.67250000e+02 7.50000000e-01 0.00000000e+00 4.16666667e-02 0.00000000e+00 4.16666667e-01 4.89583333e+00 4.78333333e+01 2.63458333e+02 6.73000000e+02],1901.875133,[1321.33333333 68.54166667 29.75 12.25 11.04166667 28.52083333 99.875 235.125 353.14583333 236.875 ],64772.001183
0.000110,346800.013660,[3.74875000e+02 6.45833333e-01 4.16666667e-02 1.45833333e-01 4.16666667e-02 3.95833333e-01 4.95833333e+00 4.89583333e+01 2.66708333e+02 6.81979167e+02],2026.332930,[1397.1875 26.89583333 15.3125 7.33333333 6.97916667 29.89583333 105.20833333 252.875 359.6875 227.1875 ],62829.052641
0.000120,354841.161159,[3.61125000e+02 5.20833333e-01 8.33333333e-02 8.33333333e-02 0.00000000e+00 3.95833333e-01 4.83333333e+00 4.41666667e+01 2.61958333e+02 6.90583333e+02],1588.632902,[1239.58333333 34.79166667 13.83333333 4.14583333 7.79166667 26.89583333 93.72916667 225.35416667 360.0625 275.75 ],79681.991429
0.000130,352537.471456,[3.63041667e+02 5.83333333e-01 8.33333333e-02 1.45833333e-01 2.08333333e-02 3.75000000e-01 5.10416667e+00 4.54791667e+01 2.62854167e+02 6.88166667e+02],1373.547453,[1.13043750e+03 6.41666667e+00 4.16666667e-02 2.91666667e-01 2.79166667e+00 1.77291667e+01 7.60208333e+01 2.28208333e+02 3.85250000e+02 2.83812500e+02],86137.591964
0.000140,359740.203221,[3.53875000e+02 7.70833333e-01 4.16666667e-02 1.66666667e-01 0.00000000e+00 3.54166667e-01 4.83333333e+00 4.39791667e+01 2.55125000e+02 6.96083333e+02],1446.821406,[1.14918750e+03 5.97916667e+00 1.04166667e-01 3.12500000e-01 2.54166667e+00 1.92083333e+01 7.96875000e+01 2.30437500e+02 3.86354167e+02 2.82604167e+02],85821.777337
0.000150,354651.414918,[3.63145833e+02 6.04166667e-01 0.00000000e+00 8.33333333e-02 2.08333333e-02 3.54166667e-01 4.56250000e+00 4.56875000e+01 2.60375000e+02 6.90520833e+02],1274.292138,[1117.97916667 32.45833333 17.72916667 3.8125 3.95833333 15.72916667 69.02083333 208.75 379.54166667 309.75 ],95867.471168
0.000160,353939.238753,[3.56812500e+02 6.45833333e-01 2.08333333e-02 2.08333333e-01 2.08333333e-02 3.95833333e-01 4.68750000e+00 4.62500000e+01 2.63041667e+02 6.89562500e+02],1151.425361,[1.07529167e+03 5.79166667e+00 6.25000000e-02 4.58333333e-01 3.06250000e+00 1.71458333e+01 7.40625000e+01 2.07250000e+02 3.79645833e+02 3.21500000e+02],101283.366744
0.000170,354375.825093,[3.60500000e+02 1.02083333e+00 4.16666667e-02 1.45833333e-01 0.00000000e+00 2.70833333e-01 4.10416667e+00 4.33958333e+01 2.57520833e+02 6.90479167e+02],1292.089076,[1.10227083e+03 5.50000000e+00 8.33333333e-02 3.33333333e-01 1.97916667e+00 1.59166667e+01 7.36458333e+01 2.22229167e+02 3.92916667e+02 2.98312500e+02],92984.000374
