gene_count,theta,rho,d0,t0,d1,t1,d2,t2,d3,t3,d4,t4,d5,t5,d6,t6,d7,t7,d8,t8,d9,t9,d10,t10,d11,t11,d12,t12,d13,t13,d14,t14,d15,t15,d16,t16,d17,t17,d18,t18,d19,t19,d20,t20,d21,t21,d22,t22,d23,t23,d24,t24,d25,t25,d26,t26,d27,t27,d28,t28,d29,t29,d30,t30,d31,t31,d32,t32,d33,t33,d34,t34,d35,t35,d36,t36,d37,t37,d38,t38,d39,t39,d40,t40,d41,t41,d42,t42,d43,t43,d44,t44,d45,t45,d46,t46,d47,t47,d48,t48,d49,t49,d50,t50,d51,t51,d52,t52,d53,t53,d54,t54,d55,t55,d56,t56,d57,t57,d58,t58,d59,t59,d60,t60,d61,t61,d62,t62,d63,t63,d64,t64,d65,t65,d66,t66,d67,t67,d68,t68,d69,t69,d70,t70,d71,t71,d72,t72,d73,t73,d74,t74,d75,t75,d76,t76,d77,t77,d78,t78,d79,t79,d80,t80,d81,t81,d82,t82,d83,t83,d84,t84,d85,t85,d86,t86,d87,t87,d88,t88,d89,t89,d90,t90,d91,t91,d92,t92,d93,t93,d94,t94,d95,t95,d96,t96,d97,t97,d98,t98,d99,t99
1000,1000,1.0000000000000004,1449,3714,2758,8911,1888,4846,3184,10821,2732,7883,2657,8391,2913,9053,3068,10095,3473,10871,2087,6178,3365,11516,3506,11689,3408,11429,3688,12328,4100,13032,2473,7549,4444,15731,2908,8902,3507,11045,2353,7278,5148,18776,2966,9453,2167,6081,2341,6762,4456,15682,2136,6384,2838,8699,1335,3401,3202,9747,3771,13483,2422,7476,1374,3769,2812,8525,2392,6563,4323,15539,3450,11646,2913,9738,3566,12132,2691,8430,3318,10893,3379,10355,3299,11035,3204,10188,3613,11064,5453,19294,2161,6258,3150,10461,4410,15297,2146,6325,3560,11935,2821,9245,3866,13956,4732,17064,3534,11027,3966,13334,2591,8120,5344,19475,2923,9777,3632,12474,5499,19609,4180,14631,3816,12214,2503,6746,1804,5008,8569,32451,2148,6136,3861,13441,3020,9965,3371,10620,1328,3843,1506,4329,5777,21272,6531,24210,2103,5217,2358,6927,4243,15113,4101,13781,2700,8129,3767,13499,2279,6525,3197,9392,2399,7309,4783,16647,3059,9685,2115,6758,2331,7036,3064,9936,4238,14992,3198,10957,2126,5920,3992,13676,2422,7283,3463,12264,3036,9903,2864,9148,3717,12618,3544,12204,4239,14930,4350,15206,5229,19536
1500,1000,0.7000000000000002,2376,6616,2166,6480,2809,7530,2670,7581,4015,14362,2660,8132,2945,9006,3261,10564,2413,6759,6549,24245,2326,6724,4233,14669,4304,14073,4072,14453,2550,7459,2945,9469,2928,8333,5680,20717,3848,12744,2023,5369,2237,6441,2475,6894,4023,14361,3524,11307,4416,14828,3766,11965,3233,9272,2252,6153,2359,7230,1879,4859,1929,5033,3595,11401,3804,12579,1949,5509,2523,7757,1998,6504,3328,10890,3402,10283,3830,13605,2129,5616,3530,12206,8631,33773,4216,14504,2651,8827,2527,7725,2977,9034,3319,10820,3784,13577,3802,13676,6924,25984,3254,10736,2183,5952,3937,13923,4083,12558,3306,11131,3861,10990,2716,7815,5245,18808,4762,14004,4006,11916,2360,7449,3605,10866,3028,10076,5153,18486,3565,12181,4723,16694,3067,9045,2796,8594,5924,22386,3176,10020,3121,10454,2896,8568,2986,8351,2693,8222,3812,13236,6526,24897,5919,21408,4149,14619,4738,16946,4232,15170,3092,10195,3337,10143,4367,15130,2789,9092,4424,14943,3350,11434,3296,10653,5721,21223,2990,9808,2512,7700,4389,15124,3297,10333,2983,9103,3784,13690,4305,15097,4937,18228,3318,9656,3419,11673,3874,12837,6950,26475
1500,1000,0.7500000000000002,3232,10448,2401,7566,2538,7962,2910,9916,3039,10155,4546,18169,3080,10557,3138,11128,3806,13640,3805,14122,4183,15734,4319,16555,2765,9038,2331,7639,4942,19271,4957,19145,1986,5759,4092,15228,3786,14045,3922,15240,2504,7653,3063,10554,2705,9313,3956,13762,5961,23225,2579,9310,7079,29642,5538,22321,3707,13244,3634,13107,2616,9377,2923,10418,3087,10654,3100,11161,3358,12178,3400,12296,4382,15420,5610,22221,1778,5401,2200,7134,2569,8202,2114,7299,2679,8322,3844,14576,1919,6157,2997,10954,3128,11099,3622,14022,3408,12784,2822,9796,3724,13726,2556,8540,3187,12154,2545,8550,2714,9740,2438,8497,1950,5985,1732,5400,3826,14344,4186,16874,2782,9790,4864,19999,2881,10234,4395,17086,4560,18216,4512,17800,2345,8028,3141,11524,4453,17597,2325,7734,2070,6908,1542,4507,2907,9991,3551,13927,10559,45043,4757,18650,2835,9277,2920,9522,2534,8955,1732,5654,3317,12152,2683,9974,1933,6536,2988,10031,2983,10565,2006,6629,3002,10175,3696,13833,3635,14264,4054,15061,3194,11403,3166,11520,2836,9058,3135,11102,4678,18589,2964,10436,3878,14404,4578,18482,4941,19511,6061,24411
1500,1000,0.8000000000000002,1450,4506,3339,13397,2366,8047,3720,14859,2649,9526,2743,10249,3026,11435,3411,13049,2193,7706,3159,12437,3523,13461,3510,14069,3537,14080,2126,7829,3813,15662,3708,15909,3893,16033,2055,7813,2331,8648,2829,9504,1999,7038,1920,6631,2195,7704,3486,13775,3578,13529,2849,10322,3018,12343,2254,7719,2585,9941,4811,20096,2862,10849,2384,8536,3062,12636,5093,21903,4433,18626,5924,25860,2799,10643,2045,7537,1669,5490,2096,7631,4329,18424,1896,6397,4017,17051,3311,12985,3582,14666,2804,10763,4663,19476,3783,16000,1450,4782,1378,4341,2553,9737,3438,14356,2635,10775,3380,13826,2345,8606,4558,18747,3419,13922,2263,8241,4124,17221,3295,13285,3291,12420,6041,27377,2411,8373,3586,14568,1573,5146,2643,10328,3400,12949,3336,12818,3574,15031,3225,12916,3828,15749,3449,14247,2347,8416,2352,8063,4452,19276,1205,3762,4471,18749,4179,18421,1766,6243,4201,18206,4710,20592,3545,14895,1984,7193,2989,12832,2273,7681,3890,16744,4463,19262,2203,8343,4130,17637,5078,21962,3271,13073,2564,9162,4155,17851,4632,19657,4063,16069,3362,12833,2960,11339,7077,31240,4448,18852,5405,24181
1500,1000,0.8500000000000002,2039,8048,1305,4431,1836,6429,2289,8254,3304,14497,1491,5571,2717,10807,2713,11352,2886,12678,2761,11646,2072,7918,2478,10179,3233,13582,2262,9175,2792,12154,3672,16105,3790,16859,3637,16233,4585,19809,2648,10159,2873,12112,2232,8916,1215,4338,2686,10377,2343,9207,2369,8625,3123,13381,2550,11456,3254,13765,2965,12610,2287,9822,3265,14370,3489,15760,3238,14017,3020,12894,2197,8670,2111,8176,3093,13445,2154,8325,2794,10878,3412,15509,5818,27951,2303,8513,3485,16211,2308,9114,2586,10649,2695,11270,2966,12811,1395,5452,2984,11942,2458,10411,2603,10907,3096,12156,1917,7066,2786,11110,3746,17785,3185,14550,3689,16893,4002,18738,2047,8294,1581,5994,6868,32764,2636,11125,4031,17845,4685,21949,3748,17135,3594,16187,2743,11396,3684,17239,2289,9388,4571,21061,1467,5661,3022,13231,2626,10660,1129,4001,1937,7837,2535,10040,3888,18237,2459,9895,2963,12988,3143,13470,1933,7126,2318,9587,1474,5301,3585,15927,1865,6955,2106,8332,2623,10858,4275,20260,4580,21054,2912,13003,3839,18113,3958,17289,2495,9581,2780,12361,2907,11292,2592,11138,3428,16373,3492,15642,4726,22509
1500,1000,0.9000000000000002,1896,7587,2114,8466,1600,6483,1913,8126,2030,8808,2224,9456,2421,10301,2697,11398,4047,19628,2125,7876,3055,14473,1426,5608,1987,8236,2433,10766,2386,9726,2535,11410,4137,20810,2192,10095,4099,20002,2974,13396,4455,22719,2125,9500,5658,28468,5251,26829,3660,17827,4542,22587,2776,11961,2719,12245,2519,11092,2205,9931,4937,24331,3499,17151,2500,11019,1737,7009,4280,20900,2262,9465,1824,7845,2254,10020,3165,14463,3065,14804,4067,20956,3905,18784,2209,9412,1943,8270,2109,9306,2591,11707,4884,23473,2907,13083,2484,11094,3078,14455,2462,10297,1858,8634,3528,17555,2540,10906,2340,10514,4109,20389,3536,16254,3619,17908,1789,8018,1355,5290,2955,12804,2942,14217,2891,13419,2256,9956,4111,20797,1743,6106,2635,12190,3049,15174,1901,7908,1667,7309,2556,10535,2463,10622,2383,11232,2211,9791,1880,8063,4695,23860,2102,9603,1877,7288,3886,19106,2802,12211,2418,11777,3002,13429,2835,13584,2810,13284,1788,7928,3326,16039,2284,10618,1403,5621,3273,15808,3781,18348,2197,9704,3554,17545,1153,4398,1514,6284,3226,15941,1643,6242,3246,15675,7727,40261,3487,15464,4781,23609
1500,1000,0.9500000000000003,1549,6619,2379,11352,2256,10796,1810,7966,1899,8964,1968,9435,2105,9626,2101,9752,1932,8518,2553,13116,3053,16291,2937,13375,1289,5893,1717,6964,2072,9114,2312,10658,1899,8316,4203,21981,2859,14537,1760,7724,2902,14524,4307,23354,3667,20154,1989,10144,3019,14457,2348,10961,2670,13206,1995,8836,1124,4913,5229,29067,3035,15539,4589,25220,2811,14178,5670,31217,2959,14495,2214,11122,874,3351,2660,13688,2042,9356,2422,11900,3182,16292,2242,11086,1646,7606,3518,18199,2522,12426,2491,12578,2334,11670,1794,8909,1541,7209,1391,6443,2107,10450,1870,8700,2281,10453,3072,16135,1964,9383,3832,20236,3476,18513,2497,11945,3169,16445,1878,9275,3147,15923,1345,6536,2137,10523,3473,18085,1841,8562,3064,16361,4648,25282,2672,13533,3059,15728,1695,7322,2133,9967,1481,6485,3158,17092,1682,7739,2264,11095,3209,14189,3368,17598,3417,17197,1749,8128,1909,8962,2585,12884,4879,26413,2069,9834,2821,13471,2140,10669,2603,12534,2445,12538,2418,11668,2692,13748,3264,17058,2736,14678,3352,17252,4109,21223,1571,7134,2753,14345,4959,27001,4020,21300,3759,19968,4582,24865,4659,25067
1500,1000,1.0000000000000004,1185,5368,2609,14163,1627,7834,1754,8530,3270,18011,2004,10006,2131,11030,3770,22215,2437,12996,1339,6193,1384,6717,2019,9842,2149,10524,3425,19062,3571,19529,2226,11193,4205,24246,1907,9112,2407,12754,5413,32580,1179,5065,3460,19357,2643,15194,2056,10680,2829,15303,1625,7895,5703,33263,1572,7788,3927,21837,1705,8025,2894,15954,1880,9204,2071,9883,1979,9660,3474,19271,2294,11689,2891,15828,1786,8616,1331,6308,2048,10154,1167,5520,2033,10080,2648,14953,2669,14985,1264,5602,1858,8574,2323,12675,2410,12808,3341,18145,3092,17683,2488,13005,1489,7389,2660,14859,1244,5233,2148,10693,1641,8123,1797,8538,3828,22211,1344,6170,2972,16243,5108,28291,1856,9364,2749,15570,1766,8523,2075,11229,1237,5304,1814,9052,996,4607,2368,12107,2653,14768,3218,18036,3538,20952,1988,10486,1570,8230,1562,7109,1629,7788,2051,10213,3166,17546,1489,7276,2460,12705,1538,7067,1512,7446,2954,15414,2277,12313,5173,30011,2927,15185,2820,14766,1700,8319,1913,10093,1921,10132,1702,8172,2411,12532,2459,12096,1456,7057,2215,11520,4459,26085,3107,17284,2531,13619,3422,19424,5091,30414
1500,1500,1.0000000000000004,2864,7564,3508,10539,5437,18156,5562,19265,6311,20862,3886,12473,4365,13644,5153,17166,3648,10409,1997,5146,5070,16752,3961,12273,6435,22320,6853,24142,3979,13059,3955,10627,5146,16567,7840,27866,3292,8698,7931,29082,2621,7400,5222,17958,4850,15668,7597,27503,4152,13350,3060,8691,2396,6768,8340,30853,6477,22298,4458,13915,4220,13955,5001,16283,4714,15624,3802,10833,3741,10689,3150,8790,4199,13873,7565,27394,5505,18529,6435,23054,5106,17505,4932,16130,7850,28709,5421,17588,4404,13924,4315,14266,5273,17676,4076,13265,4475,14538,3383,10649,5168,16609,3253,9045,5299,18191,4732,16097,4702,15397,4078,12747,3938,13561,3176,9334,4336,14676,4742,15180,2250,6034,8214,29039,6735,23769,3883,12549,4690,15691,6168,21886,4948,16733,5973,20970,5847,19927,3613,11183,8481,30892,7240,25700,4535,14911,5303,18473,6054,19818,3683,10778,3482,10345,6351,22165,3438,10221,6081,22027,3793,12309,7257,25963,6037,20409,4404,13106,4234,14195,4470,13298,3310,9628,3035,7972,4883,16443,8725,31705,5701,17276,3619,10759,10306,37996,4345,14913,5110,15526,4615,15417,6245,21579,5858,19870,11793,43922,9082,34427
2000,1000,0.5000000000000001,2058,5400,2780,7116,4823,14985,3040,7772,3250,8406,3046,8136,3208,8882,1645,3827,3645,10428,4635,12175,6088,19712,4430,12588,2629,6326,4499,13013,1988,4684,2018,4855,3000,7252,2488,6293,5040,16453,4094,10326,5697,18359,3094,7456,5522,18300,3296,8814,3600,9438,3807,11234,3903,11829,2243,5608,3685,10424,3688,10641,3127,8754,1832,4539,3802,9827,5284,17333,5273,16949,4078,11067,4609,13355,1791,4315,2153,5709,2006,5119,1946,4581,3752,11426,2883,7168,7003,24943,2959,8022,3409,9441,4419,13270,4619,13922,5182,15247,3047,8539,5259,16690,3790,10653,2978,7648,5536,17612,2505,5695,2111,5152,3819,11256,3705,10737,3099,8201,2877,7742,3869,11270,2216,5680,3578,10551,3062,8148,3678,10255,4302,13693,4324,12777,5266,15018,5726,18658,6063,19939,4549,12538,5265,16726,2857,7764,3615,9861,5145,15732,2455,5598,5586,17710,3778,11472,4190,13289,5961,20157,3634,10532,3318,9476,3229,9296,3513,9408,1361,2963,3124,7648,4065,11950,9631,34112,2428,5852,3512,10117,5531,17871,3073,8118,5689,18451,2283,5644,2729,7174,4625,14712,3867,11327,3576,10392,7356,26059,13631,50240
2000,1000,0.5500000000000002,2454,7193,1197,3227,1792,5134,2153,6098,2414,6557,2703,8265,4643,15867,1718,4445,3613,11005,4112,12740,4054,12745,3639,12359,4204,14807,3757,12184,2698,8237,2209,6264,4765,16645,3403,11307,4580,16668,3480,11402,2185,6115,1633,4674,5204,19435,3619,11898,2477,7196,1953,5022,3980,12774,3462,11489,2815,8684,3863,12502,3384,9677,4989,17816,3351,11426,3826,12395,3082,9472,3044,9239,2838,8623,4394,15836,2829,9459,3553,11352,2345,6659,2630,7598,2048,5478,3090,10823,4711,14977,3111,9566,3771,13206,3317,11068,2200,6501,6111,23043,3410,10606,1319,3343,2577,8352,2748,8753,2523,7442,2602,7806,3558,10505,2526,7222,2730,8575,6341,24392,3372,10640,2888,8073,4340,14779,3633,12121,2245,6592,3151,9734,4180,15269,3998,13521,2559,7630,2973,9968,2450,7410,3004,10014,2359,6953,1832,5191,4864,17820,3219,10564,3763,12821,2466,7340,1694,4841,2947,8741,4401,16769,5055,19314,2112,5555,3278,10432,2821,8768,4155,14553,3917,12282,4656,16537,3116,9965,1932,5691,2813,9048,5319,20190,2931,9033,4953,18273,3216,10786,4657,16842,3083,9452,5928,22202,5628,20992,8648,34845
2000,1000,0.6000000000000002,2218,7032,2585,8582,2464,8347,2642,8999,2704,9067,2833,9241,2586,9517,2867,10051,3134,10971,2904,10750,3528,13034,3872,13199,5675,23408,2580,8811,2702,9093,2665,8816,2666,9213,2449,7719,4802,19738,3854,14410,4120,16865,7214,31342,3759,14174,4407,17760,4054,15650,3752,15549,3059,11155,5318,22183,1626,5149,1776,5948,3477,13313,1997,6579,1319,3931,2347,7976,2922,10289,4751,19955,2551,8417,2301,7622,3884,14734,2197,7443,7055,30535,5952,25797,1493,4488,3391,11088,3969,15828,4084,15557,4357,18251,3564,13475,2014,6517,1833,6032,3253,11845,4368,17665,4873,20509,2067,6506,3638,13533,2500,8266,4822,19559,4715,19004,1528,4747,2259,7443,4446,18129,2262,7208,6005,26069,2670,8959,3613,14091,2953,10902,1665,5268,3074,10816,2102,7736,4649,18586,2220,6888,3466,13389,3205,11053,3443,13632,2981,10507,4213,16945,2339,7557,4163,15544,1610,5134,2834,10454,2285,7588,4167,15631,5185,21894,5462,23007,1992,6556,3105,11045,3282,12818,3633,13730,2239,7048,3206,10934,4630,19206,2882,10967,6177,26747,2752,9783,3476,12924,2231,7229,3127,11698,2859,9473,4286,16348,3951,14880
2000,1000,0.6500000000000001,1977,7532,2589,9879,1909,6815,2135,7523,2304,8569,2141,8309,2431,9234,2261,7922,2601,10261,2729,10783,3297,14508,2001,7592,3527,15750,2429,9339,1777,6139,2897,12518,4053,17856,4128,18520,4366,19634,3670,15453,3370,13972,3790,15546,2823,10996,2281,8894,2171,7940,3171,12269,2353,9488,3444,14980,2573,9821,3100,13673,4749,21120,2672,10261,1861,6787,2149,9077,5706,25701,1348,4891,1719,6859,4081,17169,3307,14102,2398,9687,3649,15951,2080,7367,4273,19231,3979,17636,2008,7608,2115,8215,1748,6509,2576,10529,9841,48234,3373,13826,5061,23539,2888,12509,1746,6479,2637,10640,2548,10417,2881,12105,3546,14036,1698,6500,4725,22203,5664,26528,1489,5426,2993,12829,3618,16229,3185,13732,1267,4151,1959,6959,4583,21883,3819,17767,2105,8160,1154,4053,3491,14748,2311,9166,4149,18280,6212,30333,4768,21340,5170,22927,1988,7580,3480,16107,1348,4868,2872,12326,3423,14651,2914,11898,2146,8479,1930,7482,1992,7416,1502,5396,2619,11229,3755,17245,4136,18613,1788,6883,3215,13298,1882,6859,3386,14472,3419,15487,3932,15857,4318,20230,5703,27244,3397,15157,4037,18292,5314,24845
2000,1000,0.7000000000000002,2166,8758,2404,10620,1481,5970,2071,8908,1707,7102,1737,7559,2041,8894,1660,6876,2732,11983,2744,12717,2822,12458,1544,5941,3103,14630,4050,20382,1642,6282,2928,13407,2314,9804,2308,10319,2205,9956,4086,20513,2669,12392,4216,21017,1963,7408,2725,12194,2662,11539,3597,17432,2017,8694,2972,12923,2393,11323,1999,8786,3683,17250,1625,6890,2208,10202,3225,15899,3432,16336,3113,14743,2733,12896,2407,11365,2591,12226,1724,7347,2478,9826,2131,9480,2313,9832,1758,7518,4241,20608,2692,12195,2479,10785,2102,8978,2508,11710,1622,6362,2445,10538,3691,17330,2681,12502,3704,18152,5571,29358,1854,7045,2151,9334,2594,12266,2454,10981,3068,14557,4279,20761,2831,13099,1943,8669,2578,12826,2428,11274,2206,9961,3079,15050,2243,10623,2953,13855,2221,9547,1949,8966,2557,11792,2657,12592,2530,11411,1987,8582,5282,26769,2196,10596,2058,8937,1177,4544,1925,7759,1414,5952,3608,15966,3320,16365,2971,14035,3788,19193,3124,14902,3180,15997,4608,22802,2279,10175,2340,10188,2414,10721,2485,11232,2981,14343,3904,19464,1904,8553,1763,7046,1708,7381,5124,26557,3517,17743,4501,22739
2000,1000,0.7500000000000002,1235,5327,2431,12141,2543,12492,1937,9573,2417,12030,2406,12704,2824,14169,2594,13754,2866,13872,2735,14361,3103,17393,3199,16781,1414,6026,3930,21627,3719,19673,2302,11197,1586,7798,1777,7578,2798,13270,4787,27417,2344,11235,3135,15129,3610,19173,5096,28577,1912,9107,4603,26041,2642,13793,1793,7297,4301,23086,1715,8049,3353,17756,3991,21587,3560,19792,2400,11897,2772,14248,1246,5484,1988,9645,2510,13105,5819,33887,2399,11871,1192,5496,2111,10762,3485,19268,2454,12951,1713,7883,1521,6501,2247,10589,1843,8611,2359,12031,2226,10823,2296,11824,2604,13753,2978,15134,1491,6508,2081,10517,3642,18828,2674,13723,1997,10070,2624,13884,2727,13123,3648,19641,3502,18585,2154,10046,1875,9736,3289,18196,1999,9935,2021,10619,3425,19469,3006,16089,2222,11357,2799,16079,2529,12094,1493,6901,2306,11536,3489,18580,1848,8779,3533,18355,2599,12339,1791,8459,2810,14007,863,3661,3199,17150,2430,12992,3271,16633,4190,23572,4176,23406,1670,7258,3032,16302,2366,12021,1596,7992,2801,14698,2928,14987,2844,14374,2758,14567,2506,12503,4470,25446,4079,22707,4160,24148,3843,19549,5803,33721
