num_samples,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,m60,m61,m62,m63,m64,m65,m66,m67,m68,m69,m70,m71,m72,m73,m74,m75,m76,m77,m78,m79,m80,m81,m82,m83,m84,m85,m86,m87,m88,m89,m90,m91,m92,m93,m94,m95,m96,m97,m98,m99
10,0.016170978546142578,0.016433238983154297,0.01754021644592285,0.021721363067626953,0.027433395385742188,0.011763572692871094,0.02790546417236328,0.029336929321289062,0.013791561126708984,0.030797958374023438,0.013495206832885742,0.03561139106750488,0.016091585159301758,0.0398252010345459,0.016061067581176758,0.017641782760620117,0.019877195358276367,0.015898466110229492,0.01780533790588379,0.014024734497070312,0.027790546417236328,0.03234696388244629,0.022006988525390625,0.016253232955932617,0.018636703491210938,0.03176617622375488,0.01645803451538086,0.01706862449645996,0.027042865753173828,0.04453563690185547,0.011139154434204102,0.0207672119140625,0.014798402786254883,0.01857614517211914,0.021125078201293945,0.008578062057495117,0.01105642318725586,0.019160985946655273,0.012676000595092773,0.01712632179260254,0.012216806411743164,0.019199848175048828,0.010825157165527344,0.01847672462463379,0.013130903244018555,0.019690513610839844,0.018035173416137695,0.0278780460357666,0.018372297286987305,0.014757871627807617,0.019605159759521484,0.02662968635559082,0.025152921676635742,0.02281332015991211,0.007838964462280273,0.01871633529663086,0.026656627655029297,0.0096588134765625,0.012984991073608398,0.009947538375854492,0.018637895584106445,0.008297920227050781,0.016271591186523438,0.009937524795532227,0.014147043228149414,0.01048588752746582,0.008607864379882812,0.014799356460571289,0.015857219696044922,0.018233776092529297,0.011683225631713867,0.008318662643432617,0.011014938354492188,0.00993037223815918,0.017330646514892578,0.015503883361816406,0.01536417007446289,0.012954235076904297,0.008874893188476562,0.007701396942138672,0.01022958755493164,0.014858245849609375,0.009822368621826172,0.014190912246704102,0.008861780166625977,0.01058053970336914,0.014054298400878906,0.009595632553100586,0.014639616012573242,0.009813070297241211,0.015419721603393555,0.017416715621948242,0.014085531234741211,0.015583276748657227,0.010308027267456055,0.01085042953491211,0.010962486267089844,0.010020017623901367,0.014509201049804688,0.014192581176757812
20,0.024900197982788086,0.025942087173461914,0.03139543533325195,0.03283858299255371,0.03439736366271973,0.034868478775024414,0.037790775299072266,0.03926825523376465,0.042788028717041016,0.018304109573364258,0.01952505111694336,0.04645586013793945,0.018430233001708984,0.01949000358581543,0.011986494064331055,0.026323556900024414,0.015636682510375977,0.021689653396606445,0.022835969924926758,0.020627737045288086,0.01332402229309082,0.022865772247314453,0.018016338348388672,0.014152288436889648,0.03833174705505371,0.014897823333740234,0.01961374282836914,0.01182246208190918,0.020872116088867188,0.020618915557861328,0.010850191116333008,0.012664079666137695,0.016615629196166992,0.011296510696411133,0.022335529327392578,0.010216474533081055,0.02052450180053711,0.01711106300354004,0.013156652450561523,0.010378360748291016,0.014718055725097656,0.008692026138305664,0.018193721771240234,0.02051830291748047,0.010643482208251953,0.009373664855957031,0.0220034122467041,0.010469913482666016,0.010783910751342773,0.017436742782592773,0.017328262329101562,0.02699112892150879,0.00947880744934082,0.008523702621459961,0.010301828384399414,0.020514726638793945,0.01808786392211914,0.01565241813659668,0.01755523681640625,0.009795427322387695,0.01686859130859375,0.01244497299194336,0.009835243225097656,0.018046140670776367,0.0186612606048584,0.01195526123046875,0.010470867156982422,0.016782045364379883,0.01781153678894043,0.012408733367919922,0.014031648635864258,0.02062201499938965,0.021511554718017578,0.012704849243164062,0.018594026565551758,0.01780533790588379,0.02102065086364746,0.01018524169921875,0.012483835220336914,0.019660472869873047,0.023490428924560547,0.019364118576049805,0.013752222061157227,0.017885923385620117,0.01727890968322754,0.020923376083374023,0.013180255889892578,0.017354965209960938,0.023328542709350586,0.02286529541015625,0.013014554977416992,0.01795482635498047,0.01600337028503418,0.012874126434326172,0.018682479858398438,0.0176849365234375,0.018251657485961914,0.012917757034301758,0.019530773162841797,0.014298200607299805
30,0.022962331771850586,0.025536775588989258,0.027838706970214844,0.0288851261138916,0.030298709869384766,0.032503604888916016,0.03350043296813965,0.03503727912902832,0.03726959228515625,0.0420079231262207,0.020984649658203125,0.015994787216186523,0.025759458541870117,0.021029949188232422,0.024518489837646484,0.02961421012878418,0.023394107818603516,0.024976253509521484,0.029143571853637695,0.026825666427612305,0.01900935173034668,0.02593231201171875,0.018999099731445312,0.025094032287597656,0.021168947219848633,0.019918441772460938,0.010504007339477539,0.01118922233581543,0.019266366958618164,0.011362791061401367,0.022204875946044922,0.02751898765563965,0.01649928092956543,0.024133920669555664,0.015412092208862305,0.02367687225341797,0.014508247375488281,0.021454572677612305,0.028644323348999023,0.026335954666137695,0.021916866302490234,0.02512645721435547,0.014419794082641602,0.027558565139770508,0.02063274383544922,0.018750429153442383,0.025738239288330078,0.012407302856445312,0.01286935806274414,0.012217044830322266,0.020392417907714844,0.015949726104736328,0.01947760581970215,0.010409116744995117,0.009049415588378906,0.018697738647460938,0.01719045639038086,0.011374950408935547,0.01739954948425293,0.009800195693969727,0.012591361999511719,0.01604461669921875,0.018436908721923828,0.02478790283203125,0.018766164779663086,0.00974583625793457,0.01716756820678711,0.015215873718261719,0.018140792846679688,0.023447751998901367,0.015476703643798828,0.017231464385986328,0.016588449478149414,0.011789798736572266,0.01984381675720215,0.011887073516845703,0.011960983276367188,0.023929357528686523,0.013569116592407227,0.021497726440429688,0.011708498001098633,0.010550975799560547,0.02042531967163086,0.011828422546386719,0.018656015396118164,0.017313003540039062,0.011449337005615234,0.021538734436035156,0.017928600311279297,0.012354612350463867,0.011298179626464844,0.014217376708984375,0.010182380676269531,0.015442371368408203,0.018294811248779297,0.012329339981079102,0.017655134201049805,0.019993066787719727,0.013088703155517578,0.01758122444152832
40,0.032630205154418945,0.03288698196411133,0.03468441963195801,0.03672981262207031,0.036954402923583984,0.03804492950439453,0.041173696517944336,0.04668545722961426,0.04836678504943848,0.05270576477050781,0.025210142135620117,0.023520469665527344,0.028612852096557617,0.031245946884155273,0.02719426155090332,0.029798269271850586,0.022846221923828125,0.02386951446533203,0.03225064277648926,0.014832019805908203,0.024018287658691406,0.01768350601196289,0.015802621841430664,0.02286243438720703,0.019925832748413086,0.0201566219329834,0.014350414276123047,0.02314615249633789,0.019369125366210938,0.020744800567626953,0.019814729690551758,0.023360013961791992,0.022519588470458984,0.018430471420288086,0.014519214630126953,0.020543336868286133,0.02524709701538086,0.01802539825439453,0.01994609832763672,0.021945476531982422,0.014944076538085938,0.019997119903564453,0.019196033477783203,0.017664670944213867,0.018832921981811523,0.01902937889099121,0.02043437957763672,0.012656688690185547,0.013804912567138672,0.01282191276550293,0.021790504455566406,0.020560264587402344,0.02523517608642578,0.017569541931152344,0.01939535140991211,0.014560699462890625,0.013781070709228516,0.018834590911865234,0.01912689208984375,0.018171310424804688,0.01128697395324707,0.020560741424560547,0.01969122886657715,0.012133359909057617,0.02005791664123535,0.02087879180908203,0.013231754302978516,0.01442265510559082,0.013454437255859375,0.020165443420410156,0.013616561889648438,0.02402496337890625,0.01207733154296875,0.011786937713623047,0.020823001861572266,0.021509647369384766,0.020393848419189453,0.013159036636352539,0.012381553649902344,0.027452945709228516,0.019330978393554688,0.019329071044921875,0.01900959014892578,0.022640705108642578,0.010437726974487305,0.019159317016601562,0.019901275634765625,0.015194177627563477,0.02276778221130371,0.014509916305541992,0.020305156707763672,0.0176239013671875,0.0119476318359375,0.013930559158325195,0.01871514320373535,0.013445138931274414,0.01697826385498047,0.020159482955932617,0.019216537475585938,0.023782730102539062
50,0.026035070419311523,0.027369022369384766,0.03027629852294922,0.032586097717285156,0.032560110092163086,0.03483319282531738,0.03820180892944336,0.041533470153808594,0.04436182975769043,0.049507856369018555,0.02161407470703125,0.028058528900146484,0.02607440948486328,0.029014110565185547,0.029335975646972656,0.029879093170166016,0.03187060356140137,0.021433353424072266,0.02466559410095215,0.03247237205505371,0.0208585262298584,0.031923770904541016,0.020765304565429688,0.025055885314941406,0.016501665115356445,0.029895544052124023,0.03283500671386719,0.026760339736938477,0.03512072563171387,0.032768964767456055,0.02997612953186035,0.022751331329345703,0.03883790969848633,0.042681217193603516,0.031206130981445312,0.030799388885498047,0.023276805877685547,0.017650842666625977,0.026981115341186523,0.01894211769104004,0.02397608757019043,0.024364471435546875,0.01817464828491211,0.014958620071411133,0.022928476333618164,0.01821732521057129,0.027845382690429688,0.01717233657836914,0.03053760528564453,0.018082857131958008,0.03096485137939453,0.02729058265686035,0.02846980094909668,0.024101972579956055,0.02767348289489746,0.022715091705322266,0.032892465591430664,0.021152257919311523,0.03283333778381348,0.024802446365356445,0.0205991268157959,0.017763376235961914,0.028940677642822266,0.0341343879699707,0.018069744110107422,0.03554081916809082,0.026580333709716797,0.026549339294433594,0.021656513214111328,0.032456398010253906,0.020427465438842773,0.026556968688964844,0.04012584686279297,0.03536725044250488,0.01630544662475586,0.020662546157836914,0.019260406494140625,0.0429234504699707,0.03717827796936035,0.0337069034576416,0.0330810546875,0.02123737335205078,0.014541149139404297,0.015610694885253906,0.020751237869262695,0.025122642517089844,0.022559642791748047,0.016998291015625,0.013894796371459961,0.023372411727905273,0.02393031120300293,0.014992237091064453,0.02375316619873047,0.0260770320892334,0.012456178665161133,0.021853923797607422,0.014954805374145508,0.013039827346801758,0.02240753173828125,0.020061492919921875
60,0.021951675415039062,0.021748781204223633,0.028275728225708008,0.029359817504882812,0.029340267181396484,0.029116153717041016,0.0373690128326416,0.03819680213928223,0.04265737533569336,0.043515920639038086,0.025437355041503906,0.017787456512451172,0.02495861053466797,0.02634119987487793,0.042446136474609375,0.03586840629577637,0.018637895584106445,0.02969503402709961,0.02241826057434082,0.017837047576904297,0.033567190170288086,0.02943873405456543,0.03303885459899902,0.015039443969726562,0.024298906326293945,0.014380693435668945,0.015231132507324219,0.014020442962646484,0.020051240921020508,0.01996302604675293,0.01883673667907715,0.013704538345336914,0.01855325698852539,0.02262139320373535,0.01486968994140625,0.012281417846679688,0.014324188232421875,0.016459941864013672,0.022667884826660156,0.012818098068237305,0.011627674102783203,0.01875472068786621,0.021335363388061523,0.017102718353271484,0.021960973739624023,0.020061492919921875,0.0178678035736084,0.017459869384765625,0.01440286636352539,0.023816585540771484,0.017841339111328125,0.02216029167175293,0.019476652145385742,0.025151968002319336,0.01722121238708496,0.027009963989257812,0.02765488624572754,0.02399754524230957,0.0167996883392334,0.02424454689025879,0.035535573959350586,0.03019881248474121,0.024911165237426758,0.0221407413482666,0.02657938003540039,0.022461891174316406,0.021626710891723633,0.023854732513427734,0.018449783325195312,0.020967721939086914,0.01783585548400879,0.013747930526733398,0.0221865177154541,0.021275997161865234,0.01783466339111328,0.02221202850341797,0.01425623893737793,0.021767616271972656,0.019360780715942383,0.014889240264892578,0.01757049560546875,0.020074129104614258,0.02463388442993164,0.014419078826904297,0.01530766487121582,0.022779464721679688,0.014923572540283203,0.021593093872070312,0.019237518310546875,0.013727903366088867,0.019948244094848633,0.012927770614624023,0.02036118507385254,0.028645038604736328,0.022614717483520508,0.013316631317138672,0.01858687400817871,0.017154455184936523,0.014696359634399414,0.019664287567138672
70,0.026112079620361328,0.02822422981262207,0.031421661376953125,0.03229808807373047,0.0321044921875,0.0337376594543457,0.03360486030578613,0.03783845901489258,0.03848910331726074,0.0396723747253418,0.01699662208557129,0.016266822814941406,0.01565265655517578,0.020082950592041016,0.01704239845275879,0.02108025550842285,0.01436471939086914,0.0166778564453125,0.028621912002563477,0.027147293090820312,0.02296900749206543,0.016330480575561523,0.03161883354187012,0.013612031936645508,0.013167381286621094,0.011624336242675781,0.014883041381835938,0.023133277893066406,0.02023625373840332,0.021087169647216797,0.020972490310668945,0.020580768585205078,0.011629819869995117,0.028290271759033203,0.015403270721435547,0.014037370681762695,0.01636481285095215,0.01418757438659668,0.02161860466003418,0.022302865982055664,0.01221919059753418,0.017905712127685547,0.02294611930847168,0.0256955623626709,0.014238595962524414,0.019949913024902344,0.02579641342163086,0.015703439712524414,0.013262033462524414,0.020105838775634766,0.02254033088684082,0.014895915985107422,0.023536205291748047,0.020071744918823242,0.02327275276184082,0.023424386978149414,0.022658109664916992,0.02083587646484375,0.024010658264160156,0.021014928817749023,0.026875972747802734,0.022348403930664062,0.014156818389892578,0.030641555786132812,0.02985358238220215,0.03260040283203125,0.028536081314086914,0.020962953567504883,0.02567291259765625,0.014861106872558594,0.014677047729492188,0.011476516723632812,0.0241546630859375,0.02361917495727539,0.01137542724609375,0.009939193725585938,0.01082611083984375,0.01974034309387207,0.021389245986938477,0.020885229110717773,0.015073537826538086,0.021852493286132812,0.018380403518676758,0.01057124137878418,0.016793251037597656,0.013059854507446289,0.019210338592529297,0.011176824569702148,0.01824641227722168,0.020645618438720703,0.02261638641357422,0.015753746032714844,0.019796133041381836,0.01592230796813965,0.016262531280517578,0.013009309768676758,0.0220029354095459,0.02140498161315918,0.021150827407836914,0.022070646286010742
80,0.03316354751586914,0.03747415542602539,0.0403752326965332,0.04113936424255371,0.04369926452636719,0.04727745056152344,0.051404714584350586,0.053363800048828125,0.02192544937133789,0.05713677406311035,0.06302595138549805,0.029465913772583008,0.028589963912963867,0.03134346008300781,0.03133368492126465,0.029694080352783203,0.024378299713134766,0.026606082916259766,0.03270268440246582,0.01626896858215332,0.032318830490112305,0.018641233444213867,0.02612137794494629,0.013587713241577148,0.02332758903503418,0.02183246612548828,0.012789249420166016,0.011636972427368164,0.013617277145385742,0.024645090103149414,0.0197603702545166,0.01964259147644043,0.012403011322021484,0.012334585189819336,0.023528575897216797,0.015790939331054688,0.018724441528320312,0.021869897842407227,0.02347874641418457,0.018894433975219727,0.020265817642211914,0.020541667938232422,0.019269704818725586,0.012159585952758789,0.016165733337402344,0.01953268051147461,0.02294611930847168,0.018187761306762695,0.017772197723388672,0.011502265930175781,0.012365102767944336,0.017976760864257812,0.014816522598266602,0.019066810607910156,0.021236419677734375,0.027667760848999023,0.013652563095092773,0.013761281967163086,0.012340784072875977,0.021078824996948242,0.021066904067993164,0.01805901527404785,0.02431488037109375,0.017833948135375977,0.020547151565551758,0.020035743713378906,0.012648820877075195,0.012824773788452148,0.013401985168457031,0.014266014099121094,0.021179676055908203,0.01988077163696289,0.011940240859985352,0.013517618179321289,0.012773990631103516,0.02497124671936035,0.02131509780883789,0.025684595108032227,0.016779422760009766,0.01270294189453125,0.013547420501708984,0.028815746307373047,0.01490640640258789,0.019580602645874023,0.023375511169433594,0.018494367599487305,0.013219594955444336,0.02148580551147461,0.022742271423339844,0.013409614562988281,0.013336658477783203,0.021248340606689453,0.01188802719116211,0.02261805534362793,0.021752357482910156,0.016533374786376953,0.012856245040893555,0.015561103820800781,0.016386032104492188,0.025877952575683594
90,0.021977663040161133,0.023607492446899414,0.02730536460876465,0.03168320655822754,0.034494876861572266,0.03496551513671875,0.03828167915344238,0.037270545959472656,0.040245771408081055,0.042394161224365234,0.01952815055847168,0.02260565757751465,0.018637895584106445,0.02662801742553711,0.026948928833007812,0.025322914123535156,0.02589702606201172,0.03024458885192871,0.029673099517822266,0.03303718566894531,0.030911922454833984,0.03307008743286133,0.02530050277709961,0.024666309356689453,0.0336146354675293,0.0314631462097168,0.021342754364013672,0.03679609298706055,0.02975296974182129,0.02569723129272461,0.031426191329956055,0.027104616165161133,0.04445338249206543,0.04796123504638672,0.02825784683227539,0.03375053405761719,0.030553340911865234,0.027457714080810547,0.03057241439819336,0.03214287757873535,0.03795194625854492,0.04102325439453125,0.035817861557006836,0.019350528717041016,0.031003713607788086,0.020904064178466797,0.027629852294921875,0.016007661819458008,0.018877744674682617,0.03154468536376953,0.021034955978393555,0.014207839965820312,0.02309703826904297,0.021097660064697266,0.03080129623413086,0.022964000701904297,0.023674964904785156,0.02807450294494629,0.033776044845581055,0.033104896545410156,0.028668880462646484,0.03282594680786133,0.02338886260986328,0.026160001754760742,0.028207063674926758,0.0532076358795166,0.041736602783203125,0.027620792388916016,0.03934454917907715,0.03151082992553711,0.03601813316345215,0.04746890068054199,0.04123687744140625,0.032102346420288086,0.048100948333740234,0.032056570053100586,0.034786224365234375,0.03419327735900879,0.04172015190124512,0.028681278228759766,0.030252695083618164,0.030711650848388672,0.03605318069458008,0.037801265716552734,0.029247522354125977,0.02920675277709961,0.029230594635009766,0.03023815155029297,0.03934621810913086,0.031829833984375,0.033852338790893555,0.029038190841674805,0.04384207725524902,0.029830455780029297,0.03456592559814453,0.03284049034118652,0.017678022384643555,0.035817861557006836,0.028414249420166016,0.034219980239868164
100,0.04236245155334473,0.047913312911987305,0.049727678298950195,0.0516507625579834,0.0516819953918457,0.05401277542114258,0.05803322792053223,0.05940842628479004,0.05865907669067383,0.059700965881347656,0.022014379501342773,0.015655517578125,0.017037391662597656,0.021035432815551758,0.028955936431884766,0.02302384376525879,0.02033853530883789,0.01624274253845215,0.022471189498901367,0.023465394973754883,0.012545347213745117,0.016116619110107422,0.015592575073242188,0.0281829833984375,0.012038946151733398,0.011455774307250977,0.018552541732788086,0.018310070037841797,0.020352840423583984,0.012817144393920898,0.014584541320800781,0.019455671310424805,0.010651826858520508,0.02125835418701172,0.012782812118530273,0.022317171096801758,0.012155771255493164,0.010888814926147461,0.01680135726928711,0.019367456436157227,0.01952385902404785,0.01503443717956543,0.013242721557617188,0.01947498321533203,0.013066291809082031,0.013828039169311523,0.021479129791259766,0.017036914825439453,0.01428675651550293,0.01285409927368164,0.020933151245117188,0.011654376983642578,0.011854171752929688,0.022325992584228516,0.02324962615966797,0.019128084182739258,0.019269704818725586,0.012358665466308594,0.013522624969482422,0.011206865310668945,0.02206110954284668,0.018525362014770508,0.02334284782409668,0.01967310905456543,0.012317180633544922,0.012613296508789062,0.019080638885498047,0.021871328353881836,0.016266822814941406,0.013489007949829102,0.022230148315429688,0.021346569061279297,0.012398242950439453,0.018819570541381836,0.011570215225219727,0.017436504364013672,0.017773151397705078,0.014367818832397461,0.011269807815551758,0.02625298500061035,0.023602008819580078,0.018645048141479492,0.012763500213623047,0.02399921417236328,0.017429113388061523,0.018498659133911133,0.019675493240356445,0.01938605308532715,0.017318010330200195,0.017806053161621094,0.015570640563964844,0.021300077438354492,0.012662172317504883,0.014432430267333984,0.02268528938293457,0.016173124313354492,0.022144079208374023,0.017986297607421875,0.013128519058227539,0.01718449592590332
