num_samples,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,m60,m61,m62,m63,m64,m65,m66,m67,m68,m69,m70,m71,m72,m73,m74,m75,m76,m77,m78,m79,m80,m81,m82,m83,m84,m85,m86,m87,m88,m89,m90,m91,m92,m93,m94,m95,m96,m97,m98,m99
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.6376461982727051,0.7000222206115723,0.7010190486907959,0.7281680107116699,0.7420179843902588,0.7790176868438721,0.8726780414581299,0.8445322513580322,0.8916785717010498,0.8956804275512695,0.46906614303588867,0.5850820541381836,0.7121264934539795,0.6931254863739014,0.778130054473877,0.7891256809234619,0.6851241588592529,0.7031290531158447,0.7876465320587158,0.8881661891937256,0.6601295471191406,0.5681350231170654,0.6268820762634277,0.7268877029418945,0.6293747425079346,0.7113981246948242,0.6818797588348389,0.569882869720459,0.6954014301300049,0.5898821353912354,1.017484188079834,0.5770878791809082,0.763343334197998,0.5365948677062988,0.6465964317321777,0.5225625038146973,0.7206189632415771,0.7666177749633789,0.7140927314758301,0.7930965423583984,0.8791069984436035,0.594078779220581,0.6765894889831543,0.5345704555511475,0.6430826187133789,0.5652923583984375,0.6518030166625977,0.6332957744598389,0.6622912883758545,0.6255629062652588,0.7035665512084961,0.6615643501281738,0.6680822372436523,0.7935929298400879,0.7058632373809814,0.8290996551513672,0.7458651065826416,0.7568705081939697,0.5230789184570312,0.6718704700469971,0.6098194122314453,0.7111475467681885,0.6691174507141113,0.5651137828826904,0.6291148662567139,0.6611149311065674,0.6686222553253174,0.8101370334625244,0.6250960826873779,0.7558417320251465,0.6714973449707031,0.6284525394439697,0.6329460144042969,0.6464593410491943,0.5929491519927979,0.5889463424682617,0.8834545612335205,0.7979507446289062,0.6922273635864258,0.7277417182922363,0.8800864219665527,0.677757978439331,0.6387498378753662,0.6262485980987549,0.6272683143615723,0.6697595119476318,0.7377846240997314,0.586266279220581,0.6937828063964844,0.9207839965820312,0.6467738151550293,0.5325682163238525,0.6340765953063965,0.6100718975067139,0.6040723323822021,0.6260721683502197,0.4965512752532959,0.5900628566741943,0.5465710163116455,0.6470768451690674
20,0.9099740982055664,0.9864752292633057,1.0324749946594238,1.0919880867004395,1.0884876251220703,1.0924797058105469,1.1760995388031006,1.212101936340332,1.2121057510375977,1.2596197128295898,0.8537213802337646,0.7912137508392334,0.9689285755157471,0.9423320293426514,0.8758199214935303,1.0484399795532227,0.9338140487670898,1.1014506816864014,1.040330410003662,1.2564778327941895,0.7142879962921143,0.8638033866882324,0.7485902309417725,0.9416201114654541,0.954613447189331,0.9711220264434814,1.0226237773895264,0.9538226127624512,1.3118679523468018,1.0443201065063477,1.2043509483337402,0.897813081741333,0.6757895946502686,0.896327018737793,0.784315824508667,1.0750226974487305,1.9226341247558594,0.7887895107269287,0.7232823371887207,0.8669476509094238,0.9224693775177002,0.9244623184204102,0.8448741436004639,1.5884740352630615,1.0358994007110596,1.154926061630249,0.875220775604248,1.053945541381836,0.6913032531738281,0.8943326473236084,1.5010004043579102,1.1077923774719238,1.6356947422027588,0.955519437789917,1.6377501487731934,0.850043535232544,1.0085515975952148,0.791989803314209,0.9164986610412598,0.7688107490539551,1.0070147514343262,0.981015682220459,1.0825319290161133,1.0443460941314697,0.6945929527282715,0.9556121826171875,0.9953010082244873,0.9357914924621582,1.1408257484436035,0.7882866859436035,1.0308215618133545,0.8232870101928711,1.1324958801269531,0.903632640838623,1.2031729221343994,0.8009424209594727,1.1006696224212646,0.9124712944030762,1.292525291442871,1.1594922542572021,1.00797438621521,1.2141602039337158,0.7602741718292236,0.8937902450561523,0.8367793560028076,1.2600064277648926,0.944291353225708,1.064821481704712,0.7984650135040283,1.0164856910705566,1.0524876117706299,0.960329532623291,0.9693260192871094,0.7477877140045166,0.7802975177764893,0.7517852783203125,1.1438424587249756,0.7319045066833496,0.6867520809173584,0.6743884086608887
30,0.992354154586792,1.078859806060791,1.1648626327514648,1.2978625297546387,1.3578691482543945,1.4543819427490234,1.4463794231414795,1.4643809795379639,1.5674090385437012,1.7484428882598877,0.9506120681762695,0.973128080368042,1.1331582069396973,1.070183277130127,0.9946696758270264,1.117689847946167,1.1389007568359375,1.1741478443145752,1.169142484664917,1.1981425285339355,1.186636209487915,0.9645793437957764,1.1461279392242432,0.9510934352874756,1.008885383605957,2.2303032875061035,1.29964017868042,1.1201584339141846,1.180894136428833,1.2208991050720215,0.9125034809112549,1.3125698566436768,1.717611312866211,1.3870720863342285,1.4860706329345703,1.119523525238037,1.096519947052002,1.5505852699279785,1.0978000164031982,1.425001621246338,1.1513090133666992,1.267979383468628,1.211317777633667,1.0212972164154053,1.252312183380127,1.179323673248291,1.2153284549713135,1.0518031120300293,0.8771209716796875,1.0123155117034912,1.1268196105957031,1.2598395347595215,1.127805233001709,1.1008107662200928,1.3763554096221924,1.2393207550048828,1.1158134937286377,1.4658691883087158,0.9371356964111328,0.9403119087219238,0.846308708190918,1.1908464431762695,1.1403439044952393,1.3908686637878418,1.7330803871154785,0.9608111381530762,1.3063557147979736,1.3500654697418213,1.1465117931365967,1.0708448886871338,1.2553725242614746,1.2430274486541748,1.3490478992462158,1.1483209133148193,0.9252936840057373,1.353541374206543,1.468059778213501,1.6825871467590332,1.541572093963623,0.8284244537353516,1.3607735633850098,1.3111271858215332,0.8649108409881592,1.0970864295959473,1.1555962562561035,1.064082384109497,1.3791165351867676,0.843724250793457,1.1230850219726562,1.2081577777862549,1.1687917709350586,1.1890740394592285,2.0769777297973633,0.944896936416626,0.9268927574157715,0.9839000701904297,1.121568202972412,1.3165831565856934,0.7935376167297363,2.2686870098114014
40,1.359395980834961,1.3763957023620605,1.4523732662200928,1.514906883239746,1.5238804817199707,1.6387317180633545,1.7202425003051758,1.8134562969207764,1.9981913566589355,2.4887683391571045,1.5054118633270264,1.3708961009979248,1.2180767059326172,1.4661006927490234,1.8231465816497803,1.2718627452850342,1.8171463012695312,1.5221166610717773,2.167689561843872,1.5038723945617676,1.5565972328186035,1.3120429515838623,1.3430397510528564,1.5654211044311523,1.4907145500183105,1.7307426929473877,2.25651216506958,1.528244972229004,2.645566701889038,1.0339913368225098,1.4470221996307373,2.0202977657318115,1.1516501903533936,1.5897068977355957,1.605217456817627,1.0991592407226562,1.8834447860717773,1.7542784214019775,1.4597370624542236,1.3253753185272217,1.4988698959350586,1.3393580913543701,1.301330804824829,1.4458770751953125,1.492882251739502,1.3138175010681152,1.8374273777008057,1.1691408157348633,1.2131543159484863,1.5146846771240234,1.0351405143737793,1.1141643524169922,1.3931999206542969,1.3176836967468262,1.4091989994049072,1.4042000770568848,1.3608520030975342,2.189534902572632,1.306063175201416,1.6095972061157227,1.2690551280975342,1.2357146739959717,1.4454762935638428,1.5089893341064453,1.2539575099945068,1.7160210609436035,1.1394457817077637,1.2152271270751953,1.244743824005127,1.3247504234313965,1.3017685413360596,1.3148560523986816,1.4196150302886963,1.304856300354004,1.193336009979248,1.4103648662567139,1.6473987102508545,1.3893704414367676,1.5068974494934082,1.7258398532867432,1.3896501064300537,1.1311051845550537,1.5251612663269043,1.6261858940124512,1.5376689434051514,1.6526811122894287,1.4751613140106201,1.381636381149292,1.2195956707000732,1.3628642559051514,1.4094107151031494,1.2143547534942627,1.1548409461975098,1.159346103668213,1.4577767848968506,1.2477495670318604,1.0918490886688232,1.5729057788848877,1.4143824577331543,1.0136327743530273
50,1.2311620712280273,1.4742581844329834,1.6594371795654297,1.7109508514404297,1.7239534854888916,1.8249859809875488,1.847473382949829,1.9119868278503418,1.948493480682373,1.3164808750152588,1.6275639533996582,1.3865275382995605,1.85225248336792,1.557039499282837,3.4435372352600098,1.9236328601837158,1.7510812282562256,2.14115309715271,1.5871608257293701,1.59657883644104,1.6800925731658936,1.4370396137237549,1.8165998458862305,1.7916009426116943,1.9361155033111572,1.9348411560058594,1.635101318359375,4.1969828605651855,2.0128259658813477,1.5909240245819092,1.561924695968628,1.5184121131896973,1.6839349269866943,1.8700237274169922,2.160773992538452,1.9970035552978516,1.7970030307769775,1.696486234664917,1.680976390838623,1.8197543621063232,1.6896817684173584,1.810755968093872,2.0748887062072754,2.1389667987823486,1.52763032913208,1.808659315109253,2.037681818008423,2.0106821060180664,1.4270429611206055,2.771790027618408,1.8069088459014893,1.834928274154663,1.5992357730865479,1.660801887512207,1.4107825756072998,1.551802396774292,2.35709285736084,1.3252570629119873,1.3129866123199463,2.0951027870178223,1.5630793571472168,1.7801265716552734,1.6955921649932861,1.5289947986602783,1.7004411220550537,1.3446662425994873,1.817955493927002,1.6882660388946533,1.177582025527954,2.0098042488098145,2.006535053253174,1.602149248123169,1.9336822032928467,1.659240484237671,2.239734411239624,1.7377519607543945,1.6117160320281982,1.7253692150115967,2.0794291496276855,2.279254198074341,1.5703003406524658,1.5583021640777588,2.3203938007354736,1.4540283679962158,1.707573413848877,1.8250877857208252,1.6250700950622559,1.648184061050415,1.7261786460876465,1.6317119598388672,1.6862268447875977,2.321448564529419,1.6679470539093018,1.3599135875701904,1.6854584217071533,1.7609717845916748,1.3336491584777832,1.7510697841644287,1.305755853652954,1.273261547088623
60,1.745818853378296,1.9725430011749268,2.143864870071411,2.1375720500946045,2.302605390548706,2.376899003982544,2.5676357746124268,2.596346616744995,2.6251485347747803,2.9405105113983154,1.4621813297271729,1.9452507495880127,2.3343052864074707,2.2062764167785645,2.293790340423584,1.992067575454712,2.889404296875,2.0430710315704346,2.2040936946868896,2.1117308139801025,2.2937285900115967,1.7851760387420654,2.186217784881592,2.2059128284454346,1.9338383674621582,2.311424970626831,2.079355001449585,2.3028855323791504,2.1837124824523926,1.7119078636169434,2.1417176723480225,1.8639976978302002,3.7640380859375,1.913703441619873,2.1647346019744873,2.1542186737060547,2.356940746307373,1.9891057014465332,2.346254348754883,1.6718335151672363,1.7865869998931885,2.0792922973632812,1.9885790348052979,1.768559217453003,2.016723871231079,2.3852663040161133,1.943251371383667,2.4598331451416016,2.036612033843994,1.9912745952606201,1.7485637664794922,1.9857430458068848,3.2172186374664307,1.8890838623046875,1.831451654434204,2.9517853260040283,2.3106822967529297,2.2361629009246826,1.648684024810791,1.4902307987213135,1.6144297122955322,3.6300580501556396,2.272775888442993,2.517967462539673,1.9283080101013184,1.7941420078277588,1.9130942821502686,1.6266372203826904,2.225064992904663,1.706294298171997,2.9872777462005615,1.8205680847167969,3.180346727371216,1.7664239406585693,2.296581745147705,2.2837600708007812,1.9155077934265137,2.026045083999634,1.8865869045257568,2.0481066703796387,2.233128070831299,1.900895118713379,2.511667013168335,1.5945875644683838,1.7469425201416016,2.001476526260376,2.0024361610412598,1.7898941040039062,2.0209438800811768,1.7481615543365479,2.7557573318481445,1.923917531967163,2.926392078399658,2.3096065521240234,2.251096487045288,2.0839226245880127,1.4231629371643066,1.4066555500030518,1.4686565399169922,1.793691873550415
70,2.203512668609619,2.414043664932251,2.5533361434936523,2.5738210678100586,2.604339122772217,2.607333183288574,2.7038557529449463,2.977088212966919,3.0946004390716553,3.828354835510254,2.035079002380371,1.9497857093811035,2.558439254760742,2.38114595413208,2.483180046081543,2.6562070846557617,2.2779438495635986,2.361449718475342,2.0602636337280273,3.3392810821533203,2.0882484912872314,2.437983989715576,2.0791022777557373,2.6221888065338135,2.2303171157836914,2.73136830329895,2.7363638877868652,2.0722882747650146,2.1192922592163086,3.805114269256592,2.518765449523926,2.3578360080718994,1.9801089763641357,2.435361862182617,2.4173808097839355,2.0411458015441895,2.086686611175537,2.292710304260254,1.9667890071868896,2.296318531036377,2.2097628116607666,2.0152456760406494,1.7554099559783936,2.126476287841797,1.9656124114990234,1.6545376777648926,4.379572629928589,1.8966083526611328,2.6604199409484863,1.8762383460998535,2.914095163345337,2.403805732727051,2.405582904815674,2.255556106567383,2.2701241970062256,2.2438535690307617,2.221355676651001,3.1437273025512695,1.899961233139038,3.4792568683624268,2.0427350997924805,2.2532615661621094,2.3672704696655273,2.1212401390075684,2.028654098510742,2.3863635063171387,2.2893662452697754,3.264713764190674,2.291365146636963,3.0251450538635254,2.3185126781463623,2.556246280670166,2.48223614692688,1.8638386726379395,2.694270610809326,1.8033325672149658,2.278776168823242,1.993077039718628,2.7805745601654053,2.2750141620635986,1.901048183441162,1.9615569114685059,2.23409104347229,2.716064929962158,2.053063154220581,1.984541654586792,2.222792387008667,2.4813504219055176,2.097398281097412,2.4666430950164795,2.119391679763794,1.8901617527008057,2.00667667388916,2.0351815223693848,2.451226234436035,2.9026665687561035,3.260714292526245,1.780519723892212,3.542113780975342,2.5832595825195312
80,2.3192713260650635,2.56742525100708,2.5674147605895996,2.645930767059326,2.781069278717041,2.797072410583496,2.8730809688568115,3.102159023284912,3.2691867351531982,4.699746370315552,2.226370334625244,2.6705026626586914,2.409811019897461,3.0041327476501465,2.5970265865325928,2.8422043323516846,2.627549409866333,2.2832322120666504,4.274415493011475,1.9134032726287842,2.7142717838287354,2.235776424407959,2.525991916656494,2.5609962940216064,2.5499989986419678,4.919314622879028,2.671300172805786,2.220599412918091,1.9944062232971191,2.496279239654541,2.7252919673919678,2.337979555130005,2.728545904159546,2.9070956707000732,2.9681036472320557,2.326481819152832,4.225054740905762,2.524996280670166,2.1978254318237305,2.7663733959198,2.9293887615203857,2.4257822036743164,2.7469499111175537,2.2505991458892822,2.9881768226623535,2.283331871032715,3.8874943256378174,2.057304620742798,2.3999860286712646,4.208174705505371,2.5171539783477783,2.1909120082855225,2.3046205043792725,2.4204607009887695,3.8274753093719482,2.2568609714508057,2.1768693923950195,2.468258857727051,3.4256625175476074,2.6887569427490234,2.9969642162323,2.3171238899230957,2.5711426734924316,2.5261361598968506,2.9287590980529785,2.6959280967712402,2.1737563610076904,2.81897234916687,2.6339807510375977,2.5709776878356934,4.660095691680908,2.980576992034912,2.682546854019165,3.655376672744751,2.5163230895996094,2.8505585193634033,2.028224229812622,2.1888413429260254,2.162661552429199,2.2345874309539795,2.172232151031494,2.9919333457946777,3.0919671058654785,2.6332147121429443,2.4781973361968994,2.846731424331665,2.552112340927124,2.7132246494293213,2.3987274169921875,1.9777498245239258,2.674677848815918,2.6679317951202393,1.9543163776397705,2.14884090423584,2.64788818359375,2.527538537979126,2.3130202293395996,2.828050374984741,2.7786855697631836,3.5227408409118652
90,2.9439196586608887,2.9444262981414795,3.03243350982666,3.04543137550354,3.1311326026916504,3.1466426849365234,3.333157777786255,3.3876726627349854,3.422682046890259,3.6742093563079834,2.574517250061035,2.677013397216797,2.4583144187927246,2.5353105068206787,2.7858524322509766,2.946371555328369,3.0723965167999268,3.3931355476379395,2.818631887435913,3.8516533374786377,3.1219799518585205,2.956477165222168,2.8564515113830566,2.6114256381988525,2.6134259700775146,2.897974967956543,2.9700889587402344,3.3198084831237793,2.9297995567321777,4.4231040477752686,2.377505302429199,2.614227771759033,3.162471294403076,3.2074737548828125,2.788811206817627,3.2534782886505127,2.6574904918670654,3.0306146144866943,4.433089017868042,2.969189167022705,3.36590838432312,3.8026154041290283,3.18835186958313,2.357287645339966,3.494097948074341,3.224790096282959,4.932692289352417,2.8637826442718506,2.349588632583618,3.0419435501098633,5.520883083343506,4.337282419204712,2.3105287551879883,2.454551935195923,2.6688709259033203,2.8274636268615723,2.4942052364349365,2.801879405975342,2.670236587524414,3.020906448364258,2.912771463394165,3.0820062160491943,2.498924732208252,3.176520824432373,3.5655717849731445,2.8112854957580566,2.6120851039886475,3.170276165008545,2.591564655303955,3.1262784004211426,3.3589775562286377,2.8307013511657715,2.4596989154815674,2.6172046661376953,3.430316209793091,4.268632888793945,2.8010993003845215,2.647083044052124,2.5429325103759766,2.724482536315918,2.494917631149292,2.9105429649353027,3.710171937942505,3.2210676670074463,2.4334464073181152,2.247238874435425,2.542780637741089,2.4392642974853516,5.877151012420654,2.9233264923095703,2.4148154258728027,2.3751721382141113,3.5425617694854736,2.5373737812042236,2.6346940994262695,2.4072628021240234,2.6998038291931152,2.2939693927764893,1.8092045783996582,2.448291063308716
