theta,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,m60,m61,m62,m63,m64,m65,m66,m67,m68,m69,m70,m71,m72,m73,m74,m75,m76,m77,m78,m79,m80,m81,m82,m83,m84,m85,m86,m87,m88,m89,m90,m91,m92,m93,m94,m95,m96,m97,m98,m99
0,0.019770145416259766,0.021750450134277344,0.022749662399291992,0.02373480796813965,0.025430679321289062,0.026964426040649414,0.026407480239868164,0.028376102447509766,0.00963449478149414,0.011711359024047852,0.033559322357177734,0.009334802627563477,0.01317596435546875,0.037734270095825195,0.014039754867553711,0.012194395065307617,0.013103008270263672,0.010738849639892578,0.017025232315063477,0.011927127838134766,0.011225700378417969,0.014485359191894531,0.015349149703979492,0.012963294982910156,0.015949010848999023,0.008553504943847656,0.01402139663696289,0.0194854736328125,0.01496744155883789,0.02069091796875,0.018119096755981445,0.010885953903198242,0.01011347770690918,0.019397258758544922,0.01628565788269043,0.014577627182006836,0.012325525283813477,0.017891407012939453,0.010088443756103516,0.009998559951782227,0.015799283981323242,0.012381315231323242,0.018860816955566406,0.012997150421142578,0.010748624801635742,0.011714935302734375,0.013080120086669922,0.011208057403564453,0.010801553726196289,0.007437944412231445,0.009006977081298828,0.00901174545288086,0.011604070663452148,0.011817216873168945,0.011463642120361328,0.011454582214355469,0.011298894882202148,0.011940717697143555,0.013336181640625,0.01016378402709961,0.008679628372192383,0.016181230545043945,0.009808540344238281,0.011075258255004883,0.012125968933105469,0.010618925094604492,0.01409769058227539,0.009677886962890625,0.014737367630004883,0.009923219680786133,0.010948419570922852,0.016667842864990234,0.012006521224975586,0.015031099319458008,0.012777090072631836,0.014125585556030273,0.011145830154418945,0.010624408721923828,0.011846303939819336,0.010714054107666016,0.008024930953979492,0.011202812194824219,0.010855436325073242,0.010200738906860352,0.014162778854370117,0.01001596450805664,0.013346195220947266,0.009002685546875,0.008829355239868164,0.016414165496826172,0.009947538375854492,0.012722492218017578,0.006251335144042969,0.008922100067138672,0.008902311325073242,0.012111186981201172,0.007220745086669922,0.00950765609741211,0.012566804885864258,0.017758607864379883
1,0.01930403709411621,0.02099156379699707,0.019779682159423828,0.021456241607666016,0.021279573440551758,0.020660877227783203,0.02144312858581543,0.02219390869140625,0.028725147247314453,0.03214263916015625,0.012137889862060547,0.01202249526977539,0.01497030258178711,0.013891220092773438,0.01576542854309082,0.017363786697387695,0.016369104385375977,0.02023458480834961,0.01201629638671875,0.009215831756591797,0.010731935501098633,0.011922359466552734,0.01127481460571289,0.00941014289855957,0.010100841522216797,0.011731147766113281,0.01580810546875,0.010456562042236328,0.010488510131835938,0.008113861083984375,0.00966501235961914,0.008014202117919922,0.00954890251159668,0.009758949279785156,0.007856130599975586,0.008625268936157227,0.009262561798095703,0.008280277252197266,0.013410329818725586,0.01386260986328125,0.010657787322998047,0.014193296432495117,0.022591114044189453,0.010720014572143555,0.012721776962280273,0.010283231735229492,0.010892391204833984,0.009002208709716797,0.007963180541992188,0.014512777328491211,0.014118671417236328,0.014565467834472656,0.009226322174072266,0.011476755142211914,0.008760452270507812,0.010582447052001953,0.007912635803222656,0.008302927017211914,0.010198593139648438,0.013262748718261719,0.012315511703491211,0.010203123092651367,0.009857654571533203,0.009851455688476562,0.012406349182128906,0.01125788688659668,0.014154911041259766,0.011820316314697266,0.007514238357543945,0.009317398071289062,0.01460409164428711,0.00927114486694336,0.010687112808227539,0.008599519729614258,0.01027989387512207,0.0091400146484375,0.010052919387817383,0.013391733169555664,0.007275819778442383,0.008926153182983398,0.016144514083862305,0.009433984756469727,0.008137702941894531,0.010838747024536133,0.009616851806640625,0.015862703323364258,0.007871389389038086,0.01473236083984375,0.012371301651000977,0.01387929916381836,0.013310909271240234,0.009421825408935547,0.011955022811889648,0.009462356567382812,0.009284496307373047,0.008593082427978516,0.009458065032958984,0.013029098510742188,0.015402793884277344,0.009667158126831055
2,0.017386913299560547,0.01748943328857422,0.020255327224731445,0.022587299346923828,0.023012399673461914,0.02342081069946289,0.023941755294799805,0.023885488510131836,0.023797988891601562,0.029106855392456055,0.012683391571044922,0.009799957275390625,0.013336658477783203,0.009009599685668945,0.011810302734375,0.008636474609375,0.015536308288574219,0.015312910079956055,0.015254735946655273,0.01105952262878418,0.011299371719360352,0.018347740173339844,0.01615309715270996,0.015973567962646484,0.008184194564819336,0.010231971740722656,0.010223865509033203,0.010287046432495117,0.015615701675415039,0.012597084045410156,0.01432037353515625,0.009192705154418945,0.015680313110351562,0.009977579116821289,0.010535955429077148,0.011935710906982422,0.01242518424987793,0.007140398025512695,0.009860992431640625,0.014498233795166016,0.012376070022583008,0.01491856575012207,0.010102510452270508,0.012947320938110352,0.01019287109375,0.008587121963500977,0.010306835174560547,0.009810686111450195,0.011425971984863281,0.010511398315429688,0.011747121810913086,0.010949850082397461,0.007350444793701172,0.008640527725219727,0.008439064025878906,0.008625030517578125,0.00950479507446289,0.012473106384277344,0.01548147201538086,0.011433839797973633,0.008887052536010742,0.009259939193725586,0.009777069091796875,0.008225679397583008,0.014320611953735352,0.01587963104248047,0.009531497955322266,0.011054277420043945,0.014301538467407227,0.010411977767944336,0.010110139846801758,0.020366668701171875,0.014348268508911133,0.014847040176391602,0.013701915740966797,0.021759748458862305,0.012774944305419922,0.01430821418762207,0.014205694198608398,0.021533727645874023,0.0161893367767334,0.01605367660522461,0.015413284301757812,0.02656078338623047,0.01120305061340332,0.01868748664855957,0.015329837799072266,0.01791977882385254,0.014984369277954102,0.009653806686401367,0.012134075164794922,0.009767293930053711,0.01040196418762207,0.009511470794677734,0.006808280944824219,0.013032913208007812,0.014658927917480469,0.008243083953857422,0.010712385177612305,0.009767770767211914
3,0.02273392677307129,0.023686885833740234,0.025740861892700195,0.028774499893188477,0.029204845428466797,0.031954288482666016,0.03501319885253906,0.03448605537414551,0.0346221923828125,0.01401209831237793,0.040300846099853516,0.013705968856811523,0.019893407821655273,0.014035940170288086,0.019324779510498047,0.014281511306762695,0.017269611358642578,0.013698577880859375,0.010951995849609375,0.011602163314819336,0.01994037628173828,0.012009859085083008,0.020804166793823242,0.016543865203857422,0.008775472640991211,0.014702796936035156,0.009060144424438477,0.011057615280151367,0.009125709533691406,0.009285688400268555,0.010704994201660156,0.0077931880950927734,0.01002645492553711,0.012524843215942383,0.009017467498779297,0.016448497772216797,0.011774539947509766,0.009608030319213867,0.00860142707824707,0.009186983108520508,0.00956869125366211,0.012384414672851562,0.016431093215942383,0.010228633880615234,0.011903524398803711,0.007826805114746094,0.01312565803527832,0.010940790176391602,0.009782552719116211,0.01602625846862793,0.012018680572509766,0.012743473052978516,0.01064443588256836,0.008580684661865234,0.011686563491821289,0.008659839630126953,0.01633763313293457,0.012581110000610352,0.008556842803955078,0.01659989356994629,0.011916160583496094,0.007934093475341797,0.015531063079833984,0.01604604721069336,0.011909961700439453,0.009849071502685547,0.011064767837524414,0.009613275527954102,0.010534286499023438,0.014970779418945312,0.016156673431396484,0.010726690292358398,0.011816024780273438,0.013359785079956055,0.009645223617553711,0.01114797592163086,0.014803409576416016,0.011452913284301758,0.011968851089477539,0.006474733352661133,0.010840654373168945,0.015974760055541992,0.010599851608276367,0.008301258087158203,0.017655372619628906,0.011504411697387695,0.009804010391235352,0.010822057723999023,0.016461610794067383,0.009966373443603516,0.012938499450683594,0.011464118957519531,0.01276087760925293,0.00924825668334961,0.00874948501586914,0.009457826614379883,0.010272979736328125,0.012524127960205078,0.012023210525512695,0.015763282775878906
4,0.02237534523010254,0.022397756576538086,0.025352001190185547,0.02502918243408203,0.026172637939453125,0.025812625885009766,0.02618694305419922,0.027528047561645508,0.027208805084228516,0.031770944595336914,0.014399290084838867,0.011986970901489258,0.019678354263305664,0.018053054809570312,0.01790595054626465,0.012861490249633789,0.01645827293395996,0.019269466400146484,0.01997685432434082,0.019137144088745117,0.011847734451293945,0.012808084487915039,0.010702133178710938,0.010473489761352539,0.013274669647216797,0.01113128662109375,0.007123231887817383,0.01072549819946289,0.01166844367980957,0.014511346817016602,0.008846759796142578,0.013202905654907227,0.00747990608215332,0.007721424102783203,0.010115385055541992,0.01033163070678711,0.01312565803527832,0.013757705688476562,0.012119531631469727,0.012986421585083008,0.009992122650146484,0.007730960845947266,0.013403892517089844,0.008616447448730469,0.012689352035522461,0.01909947395324707,0.014055490493774414,0.010186195373535156,0.012386083602905273,0.0101776123046875,0.00838780403137207,0.010496377944946289,0.015830278396606445,0.011392354965209961,0.009248971939086914,0.017331838607788086,0.009622573852539062,0.007496356964111328,0.01113271713256836,0.010284662246704102,0.014028072357177734,0.010604381561279297,0.018793344497680664,0.01981043815612793,0.008903980255126953,0.01651167869567871,0.012063026428222656,0.010358095169067383,0.009278059005737305,0.015313148498535156,0.010681390762329102,0.011579751968383789,0.0067996978759765625,0.010808229446411133,0.011404991149902344,0.014232397079467773,0.010863065719604492,0.011601686477661133,0.010988473892211914,0.010879278182983398,0.012817859649658203,0.015348196029663086,0.014623403549194336,0.008006095886230469,0.010795116424560547,0.011398553848266602,0.011226415634155273,0.010683298110961914,0.017104148864746094,0.01011347770690918,0.010496854782104492,0.016742467880249023,0.007276773452758789,0.008466720581054688,0.013623237609863281,0.01407170295715332,0.012770414352416992,0.011724710464477539,0.016510009765625,0.010345697402954102
5,0.025419950485229492,0.02686476707458496,0.028085708618164062,0.029544830322265625,0.031010150909423828,0.03145480155944824,0.03233623504638672,0.0343167781829834,0.03800511360168457,0.039365291595458984,0.013392448425292969,0.012079715728759766,0.0161898136138916,0.01034688949584961,0.01518869400024414,0.016129016876220703,0.01779794692993164,0.011022567749023438,0.011125564575195312,0.012912988662719727,0.016132116317749023,0.02988457679748535,0.014615535736083984,0.019190073013305664,0.012180566787719727,0.016602516174316406,0.017633438110351562,0.01568460464477539,0.018313884735107422,0.017075777053833008,0.012431621551513672,0.010001420974731445,0.014018058776855469,0.020210981369018555,0.009858846664428711,0.013120174407958984,0.015117406845092773,0.019205808639526367,0.009963035583496094,0.011444091796875,0.017063379287719727,0.010362386703491211,0.013365030288696289,0.021594762802124023,0.017461299896240234,0.012374162673950195,0.011924266815185547,0.010227441787719727,0.013040781021118164,0.010421991348266602,0.0120086669921875,0.01854419708251953,0.011663436889648438,0.011530399322509766,0.011037588119506836,0.009863138198852539,0.016179800033569336,0.012181758880615234,0.007735729217529297,0.010175466537475586,0.009500265121459961,0.01143193244934082,0.01191401481628418,0.008536338806152344,0.013289690017700195,0.015473127365112305,0.010637760162353516,0.012212753295898438,0.013770580291748047,0.011499881744384766,0.01400899887084961,0.01198720932006836,0.00959920883178711,0.010082721710205078,0.009180068969726562,0.010079622268676758,0.008080005645751953,0.012052059173583984,0.009727239608764648,0.016310453414916992,0.007161378860473633,0.009278059005737305,0.009289026260375977,0.010784626007080078,0.013439178466796875,0.010246515274047852,0.010515213012695312,0.012028932571411133,0.00814366340637207,0.010741949081420898,0.007719516754150391,0.008632421493530273,0.008745670318603516,0.007785320281982422,0.01918959617614746,0.007569551467895508,0.012735366821289062,0.009163856506347656,0.010634660720825195,0.013933658599853516
6,0.022391319274902344,0.023845911026000977,0.023917198181152344,0.02552318572998047,0.027263641357421875,0.027410030364990234,0.029179811477661133,0.032575130462646484,0.031578779220581055,0.03325963020324707,0.012504339218139648,0.014204978942871094,0.017513275146484375,0.017333269119262695,0.013792276382446289,0.009667396545410156,0.014312028884887695,0.010092020034790039,0.017648696899414062,0.02606654167175293,0.015885114669799805,0.027700185775756836,0.00712895393371582,0.009185552597045898,0.008881568908691406,0.011468887329101562,0.014020681381225586,0.010478734970092773,0.013854742050170898,0.01101994514465332,0.007460117340087891,0.01601266860961914,0.011009693145751953,0.013389825820922852,0.013799667358398438,0.008234739303588867,0.0086822509765625,0.009352445602416992,0.011901140213012695,0.012725114822387695,0.016566991806030273,0.006157398223876953,0.016169309616088867,0.009804964065551758,0.009809255599975586,0.0125732421875,0.013993501663208008,0.011898279190063477,0.011222600936889648,0.009429454803466797,0.010570287704467773,0.011904001235961914,0.008351802825927734,0.013553142547607422,0.009334325790405273,0.008489847183227539,0.008698463439941406,0.010022401809692383,0.007577657699584961,0.013774633407592773,0.023459672927856445,0.006881237030029297,0.009051322937011719,0.011162996292114258,0.0076715946197509766,0.010304927825927734,0.01074075698852539,0.017820358276367188,0.011691808700561523,0.012511968612670898,0.013787031173706055,0.009330511093139648,0.013146638870239258,0.007851600646972656,0.009198427200317383,0.009655952453613281,0.01052546501159668,0.012402772903442383,0.009567022323608398,0.011472225189208984,0.013346433639526367,0.016458749771118164,0.0071375370025634766,0.010285615921020508,0.017159461975097656,0.018280029296875,0.008344888687133789,0.01818370819091797,0.011133909225463867,0.007909536361694336,0.01585841178894043,0.01249241828918457,0.01020503044128418,0.009887933731079102,0.012013435363769531,0.01500248908996582,0.013538837432861328,0.013569116592407227,0.010776996612548828,0.012502431869506836
7,0.01922154426574707,0.0195004940032959,0.019022703170776367,0.01952052116394043,0.020891189575195312,0.020340681076049805,0.02114129066467285,0.023486852645874023,0.023436307907104492,0.011647939682006836,0.03325843811035156,0.016244888305664062,0.01706099510192871,0.014467000961303711,0.017531394958496094,0.01860189437866211,0.019310951232910156,0.01028132438659668,0.022583484649658203,0.020183801651000977,0.010794878005981445,0.010653257369995117,0.01605844497680664,0.009912252426147461,0.010712146759033203,0.013937950134277344,0.012200355529785156,0.015982627868652344,0.014250040054321289,0.010373592376708984,0.013664484024047852,0.011956930160522461,0.011704206466674805,0.010518312454223633,0.008486270904541016,0.014466047286987305,0.010806798934936523,0.010102510452270508,0.016765117645263672,0.009624481201171875,0.014873743057250977,0.012100458145141602,0.010180473327636719,0.02081584930419922,0.009697675704956055,0.01395869255065918,0.017280101776123047,0.012480974197387695,0.016468524932861328,0.011467695236206055,0.01621222496032715,0.03447389602661133,0.012681722640991211,0.020181894302368164,0.034200429916381836,0.02732062339782715,0.009199142456054688,0.012378454208374023,0.014903783798217773,0.013206243515014648,0.016423702239990234,0.009879589080810547,0.0065402984619140625,0.010807275772094727,0.015216350555419922,0.009887933731079102,0.009680986404418945,0.014647483825683594,0.010839700698852539,0.014806747436523438,0.013724803924560547,0.011712312698364258,0.013059616088867188,0.010813474655151367,0.009728193283081055,0.011998891830444336,0.011154651641845703,0.00958108901977539,0.008263826370239258,0.009184837341308594,0.00981903076171875,0.013696908950805664,0.008476972579956055,0.012555837631225586,0.011556386947631836,0.012464761734008789,0.013071060180664062,0.014131784439086914,0.00952601432800293,0.010061264038085938,0.010875225067138672,0.011812925338745117,0.01228475570678711,0.014398336410522461,0.013898134231567383,0.011131048202514648,0.014667510986328125,0.00734400749206543,0.012914419174194336,0.015828847885131836
8,0.029935836791992188,0.0322568416595459,0.032453298568725586,0.03045058250427246,0.03482818603515625,0.03337693214416504,0.03419852256774902,0.03932809829711914,0.04232978820800781,0.04214358329772949,0.015514850616455078,0.02000594139099121,0.016808748245239258,0.023976564407348633,0.02069568634033203,0.022281646728515625,0.033936500549316406,0.01511693000793457,0.0135345458984375,0.012316226959228516,0.01673126220703125,0.01826024055480957,0.018950462341308594,0.014688968658447266,0.02171182632446289,0.009083986282348633,0.009630441665649414,0.012117385864257812,0.010282039642333984,0.00920414924621582,0.02844834327697754,0.011622905731201172,0.009534835815429688,0.01671910285949707,0.0118408203125,0.009326696395874023,0.011934995651245117,0.010265350341796875,0.010998010635375977,0.011271238327026367,0.00818634033203125,0.012939929962158203,0.015030860900878906,0.009703874588012695,0.011913299560546875,0.016644001007080078,0.009230852127075195,0.012234926223754883,0.012844324111938477,0.009632587432861328,0.01260995864868164,0.008431434631347656,0.01669597625732422,0.011032581329345703,0.011389493942260742,0.01061868667602539,0.014014959335327148,0.012439966201782227,0.01729559898376465,0.013429403305053711,0.00941920280456543,0.013535737991333008,0.015465974807739258,0.011933565139770508,0.012982606887817383,0.011472463607788086,0.016402006149291992,0.015111446380615234,0.013327598571777344,0.015268325805664062,0.013881683349609375,0.01342630386352539,0.01726531982421875,0.019118785858154297,0.016276121139526367,0.014896869659423828,0.013961076736450195,0.009166479110717773,0.016599178314208984,0.01581883430480957,0.021170616149902344,0.017000913619995117,0.012349605560302734,0.01336669921875,0.015654325485229492,0.011424064636230469,0.012023210525512695,0.014757394790649414,0.019481182098388672,0.008122920989990234,0.017894744873046875,0.010766267776489258,0.010057926177978516,0.013597965240478516,0.010955810546875,0.01700115203857422,0.01504826545715332,0.009455204010009766,0.01118612289428711,0.00958871841430664
9,0.024748802185058594,0.024551868438720703,0.02632617950439453,0.02599167823791504,0.026232004165649414,0.025836944580078125,0.030124664306640625,0.030495643615722656,0.030000925064086914,0.033646345138549805,0.01373744010925293,0.018230915069580078,0.020713329315185547,0.02165508270263672,0.020257949829101562,0.02055501937866211,0.013404369354248047,0.01701807975769043,0.017000675201416016,0.009564876556396484,0.023646831512451172,0.00759577751159668,0.011289834976196289,0.012166261672973633,0.012848615646362305,0.012377023696899414,0.012098550796508789,0.00935506820678711,0.011845111846923828,0.017547607421875,0.008272171020507812,0.011659383773803711,0.011025190353393555,0.011391162872314453,0.009032964706420898,0.009046077728271484,0.012370586395263672,0.007822036743164062,0.01375269889831543,0.014653444290161133,0.009594440460205078,0.009372234344482422,0.009010791778564453,0.012100934982299805,0.010947465896606445,0.01424717903137207,0.009776115417480469,0.009766340255737305,0.013107061386108398,0.011953353881835938,0.00805211067199707,0.015839576721191406,0.010490179061889648,0.014547586441040039,0.011070728302001953,0.009568214416503906,0.009902477264404297,0.01903080940246582,0.012116670608520508,0.013765096664428711,0.009799003601074219,0.017375946044921875,0.012643098831176758,0.016723155975341797,0.01940464973449707,0.023047685623168945,0.017992496490478516,0.013649702072143555,0.021140336990356445,0.018471956253051758,0.018597126007080078,0.015493631362915039,0.01505589485168457,0.017917871475219727,0.01351308822631836,0.017286300659179688,0.009865283966064453,0.025170326232910156,0.014173746109008789,0.01176142692565918,0.014925479888916016,0.017555713653564453,0.018209457397460938,0.013348579406738281,0.011812686920166016,0.019230365753173828,0.01679253578186035,0.014699459075927734,0.012429475784301758,0.01717972755432129,0.018721342086791992,0.011673927307128906,0.011580228805541992,0.011625051498413086,0.013235807418823242,0.008993387222290039,0.009520530700683594,0.020281076431274414,0.014974117279052734,0.013789892196655273
