theta,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,m60,m61,m62,m63,m64,m65,m66,m67,m68,m69,m70,m71,m72,m73,m74,m75,m76,m77,m78,m79,m80,m81,m82,m83,m84,m85,m86,m87,m88,m89,m90,m91,m92,m93,m94,m95,m96,m97,m98,m99
0,0.6337928771972656,0.674799919128418,0.6657924652099609,0.7057960033416748,0.7493095397949219,0.7763135433197021,0.7763092517852783,0.8238191604614258,1.001343011856079,1.0528595447540283,0.5145742893218994,0.5335812568664551,0.6345994472503662,0.7206027507781982,0.592087984085083,0.7036051750183105,0.6370875835418701,0.6996004581451416,0.5037820339202881,0.5972938537597656,0.777327299118042,0.760810136795044,0.540783166885376,0.6215252876281738,0.5645337104797363,0.583533525466919,0.7755563259124756,0.5563135147094727,0.5673131942749023,0.5513131618499756,1.1127314567565918,0.561720609664917,0.7144696712493896,1.0205180644989014,0.7092328071594238,0.6017224788665771,0.7837481498718262,0.394061803817749,0.5462102890014648,0.592728853225708,0.6627261638641357,0.5075714588165283,0.47356724739074707,0.5415701866149902,0.660083532333374,0.5205662250518799,0.6460826396942139,0.5870954990386963,0.6576063632965088,0.9136397838592529,0.6866083145141602,0.8326370716094971,0.4945838451385498,0.4460742473602295,0.9176337718963623,0.6506118774414062,0.7691199779510498,0.6806240081787109,0.7016210556030273,0.598109245300293,0.6011044979095459,0.589108943939209,0.6186220645904541,0.7861413955688477,0.5781083106994629,0.6966264247894287,0.6062743663787842,0.6152725219726562,0.7018189430236816,0.5247561931610107,0.530750036239624,0.8848118782043457,0.5912652015686035,0.7587859630584717,0.6012694835662842,0.7347877025604248,0.533574104309082,0.5575730800628662,0.7086031436920166,0.602092981338501,0.6140997409820557,0.6030960083007812,0.618098258972168,0.6956067085266113,0.666616678237915,0.7036051750183105,0.7218220233917236,0.8073365688323975,0.7478160858154297,0.6638078689575195,0.6142983436584473,0.796320915222168,0.6098165512084961,0.48978304862976074,0.6613049507141113,0.5018341541290283,0.49361562728881836,0.47960901260375977,0.4060988426208496,0.4526083469390869
1,0.5674405097961426,0.6284370422363281,0.6504418849945068,0.7029461860656738,0.7429521083831787,0.7614622116088867,0.8319802284240723,0.8709783554077148,0.8909785747528076,0.902987003326416,0.47095274925231934,0.6179988384246826,0.6405031681060791,0.6189954280853271,0.5404796600341797,0.6599953174591064,0.7380201816558838,0.5549807548522949,0.7067039012908936,0.6788151264190674,0.816225528717041,0.5033392906188965,0.5638458728790283,0.5113351345062256,0.4853370189666748,0.5918533802032471,0.5758523941040039,0.6036562919616699,0.7433748245239258,0.6168725490570068,0.5903007984161377,0.6843767166137695,0.7118210792541504,0.6570429801940918,0.8990652561187744,0.6880390644073486,0.6215240955352783,0.7850470542907715,0.6250298023223877,0.5763177871704102,0.6944441795349121,0.5521888732910156,0.8390674591064453,0.6860430240631104,0.5793087482452393,0.6093084812164307,0.5923118591308594,0.7523486614227295,0.6808412075042725,0.6094050407409668,0.6210076808929443,0.6160082817077637,0.5578944683074951,0.6124186515808105,0.6714239120483398,0.6549303531646729,0.56288743019104,0.5753087997436523,0.639399528503418,0.542090892791748,0.5950889587402344,0.8869435787200928,0.5960884094238281,0.5330805778503418,0.5575656890869141,0.6525940895080566,0.5257847309112549,0.5743017196655273,0.5903048515319824,0.6328198909759521,0.7983262538909912,0.6093001365661621,0.777012825012207,0.5009746551513672,0.514763593673706,0.6374983787536621,0.9280438423156738,0.6042752265930176,0.49877047538757324,0.6002781391143799,0.5507664680480957,0.6893742084503174,0.6631855964660645,0.6106700897216797,0.6501874923706055,0.5816676616668701,0.6256814002990723,0.9467406272888184,0.6236894130706787,0.53458571434021,0.8337116241455078,0.5085864067077637,0.6901960372924805,0.47357702255249023,0.5990955829620361,0.5520870685577393,0.4412262439727783,0.4767322540283203,0.43172764778137207,0.5027289390563965
2,0.6054527759552002,0.641960859298706,0.5914442539215088,0.6389610767364502,0.6579618453979492,0.6879560947418213,0.6909611225128174,0.7344720363616943,0.7269635200500488,0.9370236396789551,0.5481061935424805,0.6186294555664062,0.6826338768005371,0.6381478309631348,0.743657112121582,0.6631472110748291,0.6971478462219238,0.6893589496612549,0.685356616973877,0.5468165874481201,0.6033158302307129,0.6093065738677979,0.6173086166381836,0.6848158836364746,0.6080887317657471,0.6590957641601562,0.915848970413208,0.7416079044342041,0.8673298358917236,1.0053651332855225,0.6270980834960938,0.5190894603729248,0.42507076263427734,0.6726062297821045,0.5883171558380127,0.4362764358520508,0.7783467769622803,0.77634596824646,0.7733464241027832,0.7993447780609131,0.6798174381256104,0.5398051738739014,0.7328362464904785,0.7833380699157715,0.5085854530334473,0.5305783748626709,0.611095666885376,0.9256420135498047,0.5640914440155029,0.6466188430786133,0.9306409358978271,0.6000955104827881,0.909644365310669,0.6078305244445801,0.6543781757354736,0.8693962097167969,0.6115720272064209,0.5970947742462158,0.4728422164916992,0.6470942497253418,0.6190905570983887,0.6720969676971436,0.7036230564117432,0.48184657096862793,0.5158421993255615,1.2212200164794922,0.6673052310943604,0.6478159427642822,0.5582842826843262,0.6548168659210205,0.6428089141845703,0.7228231430053711,0.48627352714538574,0.4337584972381592,0.991901159286499,0.690321683883667,0.5363402366638184,0.6655845642089844,0.6855943202972412,0.6030716896057129,0.4380192756652832,0.5930683612823486,0.5335345268249512,0.8751223087310791,0.7986156940460205,0.9180567264556885,0.6592612266540527,0.5530092716217041,0.5630097389221191,0.6405186653137207,0.593008279800415,0.6486878395080566,0.5077273845672607,0.5611710548400879,0.6241762638092041,0.6101770401000977,0.4732074737548828,0.4313511848449707,0.5028586387634277,0.5716569423675537
3,0.6342217922210693,0.6452245712280273,0.6572222709655762,0.6374778747558594,0.7404744625091553,0.7799980640411377,0.8119978904724121,0.8169941902160645,0.8925175666809082,0.9115142822265625,0.5176219940185547,0.464616060256958,0.6923937797546387,0.7159063816070557,0.7469086647033691,0.6121363639831543,0.5288450717926025,0.6173810958862305,0.5813748836517334,0.9039325714111328,0.5008425712585449,0.6673638820648193,0.5721302032470703,0.6645553112030029,0.6455552577972412,0.6128292083740234,0.7395939826965332,0.6880755424499512,0.6533160209655762,0.6848392486572266,0.6583952903747559,0.5423762798309326,0.7809247970581055,0.5886931419372559,0.55417799949646,0.5426948070526123,0.6166954040527344,0.7092201709747314,0.7444651126861572,0.6475403308868408,0.5794413089752197,0.6034486293792725,0.71193528175354,0.6589691638946533,0.6344501972198486,0.6144518852233887,0.7968206405639648,0.6770195960998535,0.9063024520874023,0.5794167518615723,0.6174163818359375,0.8324573040008545,0.589423656463623,0.5374197959899902,0.6829469203948975,0.6680037975311279,0.6021947860717773,0.6211657524108887,0.6197307109832764,0.5619280338287354,0.5854687690734863,0.8065178394317627,0.7180025577545166,0.6194674968719482,0.6729910373687744,0.5724213123321533,0.5438926219940186,0.575420618057251,0.869706392288208,0.5603973865509033,0.602393627166748,0.5188767910003662,0.8099944591522217,0.6463897228240967,0.7549192905426025,0.7584373950958252,0.7874271869659424,0.92722487449646,0.5708801746368408,0.6739134788513184,0.6083958148956299,0.591397762298584,0.5808839797973633,0.5543920993804932,0.5853922367095947,0.5608751773834229,0.6361284255981445,0.5182030200958252,0.5526988506317139,0.586195707321167,0.625216007232666,0.8971524238586426,0.6283657550811768,0.6588797569274902,0.7413887977600098,0.744879961013794,0.45922160148620605,0.4667346477508545,0.5893404483795166,0.4222269058227539
4,0.6444003582000732,0.6703975200653076,0.69498610496521,0.6879806518554688,0.687983512878418,0.7119855880737305,0.7429828643798828,0.7875301837921143,0.8064999580383301,0.8245010375976562,0.6591305732727051,0.6591296195983887,0.54475998878479,0.7318594455718994,0.6782763004302979,0.6382780075073242,0.7682766914367676,0.6777362823486328,0.7659091949462891,1.1117467880249023,0.5079162120819092,0.6160686016082764,0.5849206447601318,0.5614314079284668,0.7159574031829834,0.818108320236206,0.7034718990325928,0.6203222274780273,0.8990020751953125,0.6436681747436523,0.5376386642456055,0.5711565017700195,0.5931663513183594,0.5396420955657959,0.4671154022216797,0.565192461013794,0.7822446823120117,0.6827268600463867,0.7047293186187744,0.6491837501525879,0.5266616344451904,0.5901670455932617,0.43418097496032715,0.7952980995178223,0.5076937675476074,0.6653821468353271,0.5136566162109375,0.9652986526489258,0.6351675987243652,0.587158203125,0.6616783142089844,0.49356651306152344,0.6316874027252197,0.631488561630249,0.5166082382202148,0.7246077060699463,0.851660966873169,0.5368063449859619,0.6228885650634766,0.5533671379089355,0.6043655872344971,0.7198925018310547,0.6886441707611084,0.6609315872192383,0.5117011070251465,0.7029318809509277,0.575890064239502,0.5306658744812012,0.9059920310974121,0.5146737098693848,0.6181890964508057,0.6071920394897461,0.5719172954559326,0.6236600875854492,0.7206621170043945,0.7096631526947021,0.5556192398071289,0.5141201019287109,0.7191784381866455,0.5108723640441895,0.7253425121307373,0.7178196907043457,0.7628278732299805,0.6125710010528564,0.5725455284118652,0.5940301418304443,0.6875495910644531,0.7365772724151611,0.5538439750671387,0.5223593711853027,0.8361029624938965,0.6647934913635254,0.5005974769592285,0.7604012489318848,0.5081067085266113,0.6041128635406494,0.4300718307495117,0.5420992374420166,0.47258424758911133,0.5155773162841797
5,0.6305544376373291,0.6470644474029541,0.6482224464416504,0.6792683601379395,0.681269645690918,0.7122719287872314,0.7212796211242676,0.7317955493927002,0.7847933769226074,0.7737917900085449,0.5628514289855957,0.5506536960601807,0.6266915798187256,0.6867477893829346,0.7164103984832764,0.6711947917938232,0.7492105960845947,0.6456890106201172,0.6632332801818848,0.7772014141082764,0.6078112125396729,0.570267915725708,0.6758091449737549,0.5347843170166016,0.6447896957397461,0.5641400814056396,0.7376606464385986,0.7176632881164551,0.7611737251281738,0.9308695793151855,0.5271627902984619,0.5021443367004395,0.5846743583679199,0.7141969203948975,0.5563054084777832,0.4960043430328369,0.5735263824462891,0.6833956241607666,0.6135268211364746,0.5683341026306152,0.6083474159240723,0.6478691101074219,0.7578771114349365,0.7683835029602051,0.5871343612670898,0.6311397552490234,0.7028725147247314,0.7580835819244385,0.7853977680206299,0.4868340492248535,0.6353564262390137,0.5438334941864014,0.4948408603668213,0.6468796730041504,0.5973596572875977,0.5823543071746826,0.6311414241790771,0.5536034107208252,0.7008814811706543,0.7974061965942383,0.6478660106658936,0.7753949165344238,0.5158655643463135,0.5873456001281738,0.606351375579834,0.5833520889282227,0.6498780250549316,0.6361358165740967,0.6789073944091797,0.7750825881958008,0.5960376262664795,0.625007152557373,0.6570403575897217,0.658001184463501,0.6015968322753906,0.6185922622680664,0.6268503665924072,0.7123706340789795,0.5948214530944824,0.6631958484649658,0.6731686592102051,0.72068190574646,0.6936795711517334,0.6196057796478271,0.646604061126709,0.7890400886535645,0.5881869792938232,0.4781363010406494,0.4871063232421875,0.5739874839782715,0.6744732856750488,0.6655049324035645,0.5866658687591553,0.6444964408874512,0.6685066223144531,0.47440099716186523,0.6506688594818115,0.5069239139556885,0.6748208999633789,0.49885010719299316
6,0.6277215480804443,0.6627271175384521,0.679720401763916,0.7097289562225342,0.7007277011871338,0.7018735408782959,0.7422499656677246,0.7732479572296143,0.7932491302490234,0.8957762718200684,0.5303759574890137,0.5673789978027344,0.637380838394165,0.6539041996002197,0.5743842124938965,0.6929066181182861,0.6613807678222656,0.7539103031158447,0.6290934085845947,0.7456250190734863,0.5428557395935059,0.5933659076690674,0.638885498046875,0.6288855075836182,0.6218855381011963,0.7068843841552734,0.7478852272033691,0.587165117263794,0.624169111251831,0.8409619331359863,0.5781300067901611,0.6471281051635742,0.6381323337554932,0.5326054096221924,0.5466153621673584,0.6261622905731201,0.6581315994262695,0.5616023540496826,0.5036065578460693,0.5930933952331543,0.8091714382171631,0.5987668037414551,0.7032825946807861,0.6292824745178223,0.6167402267456055,0.7508044242858887,0.660311222076416,0.689612865447998,0.5895559787750244,0.6385853290557861,0.721806526184082,0.6246416568756104,0.6461794376373291,0.5111043453216553,0.5201396942138672,0.5048074722290039,0.8970301151275635,0.9450314044952393,0.6938803195953369,0.8384428024291992,0.588172197341919,0.7862229347229004,0.6617586612701416,0.7752871513366699,0.7478299140930176,0.4484598636627197,0.7873818874359131,0.5306248664855957,0.6203343868255615,0.5658204555511475,0.577275276184082,0.5162725448608398,0.6099824905395508,0.6284258365631104,0.643423318862915,0.7900173664093018,0.6898040771484375,0.6043996810913086,0.4808793067932129,0.8894696235656738,0.6384117603302002,0.5252957344055176,0.7056677341461182,0.49686479568481445,0.5468666553497314,0.5213508605957031,0.6813890933990479,0.5933547019958496,0.5483536720275879,0.6093544960021973,0.5823192596435547,0.6542103290557861,0.6201233863830566,0.6564493179321289,0.5933988094329834,0.5708804130554199,0.4093468189239502,0.5468728542327881,0.5973880290985107,0.5778782367706299
7,0.6044585704803467,0.5794553756713867,0.6144530773162842,0.6395053863525391,0.6530792713165283,0.7280793190002441,0.7130796909332275,0.7685966491699219,0.7755937576293945,0.758336067199707,0.461284875869751,0.5478019714355469,0.48375439643859863,0.548731803894043,0.7396054267883301,0.5754847526550293,0.6604804992675781,0.6744847297668457,0.8245270252227783,0.5478677749633789,0.5843861103057861,0.6541576385498047,1.1423728466033936,0.6176230907440186,0.4368588924407959,0.635382890701294,0.7416703701019287,0.5101189613342285,0.6041865348815918,0.7187185287475586,0.5134196281433105,0.62442946434021,0.6972043514251709,0.7574396133422852,0.7209830284118652,0.5406875610351562,0.7483370304107666,0.5995090007781982,0.4939906597137451,0.7370402812957764,0.5300240516662598,0.8356072902679443,0.6670432090759277,0.5400018692016602,0.5090444087982178,0.5995597839355469,0.533658504486084,0.5992729663848877,0.7387545108795166,0.6617538928985596,0.6877484321594238,0.5974318981170654,0.8360474109649658,0.6459903717041016,0.6624777317047119,0.7680642604827881,0.629507303237915,0.6154718399047852,0.6056506633758545,0.5572035312652588,0.4951634407043457,0.5335988998413086,0.5840377807617188,0.6920785903930664,0.6405050754547119,0.6070394515991211,0.8061137199401855,0.5928432941436768,0.7293014526367188,0.7588422298431396,0.445603609085083,0.5940921306610107,0.8340253829956055,0.5881319046020508,0.6681504249572754,0.7531895637512207,0.5276005268096924,0.7832205295562744,0.5649683475494385,0.6240906715393066,0.6676068305969238,0.7175807952880859,0.5485548973083496,0.8831088542938232,0.5701110363006592,0.552114725112915,0.8606929779052734,0.6357719898223877,0.924222469329834,0.5782585144042969,0.5007035732269287,0.7217564582824707,0.6897456645965576,0.577178955078125,0.5586581230163574,0.41661524772644043,0.3911013603210449,0.7492785453796387,0.5811629295349121,0.5117065906524658
8,0.6312932968139648,0.6373074054718018,0.7076578140258789,0.7478005886077881,0.7186596393585205,0.7486608028411865,0.7607908248901367,0.7406599521636963,0.8538651466369629,0.8837752342224121,0.6046946048736572,0.5996809005737305,0.6095774173736572,0.6900968551635742,0.6620988845825195,0.6891002655029297,0.7060978412628174,0.7320990562438965,0.5999794006347656,0.7265856266021729,0.5530791282653809,0.6851167678833008,0.6006128787994385,0.7021691799163818,0.5436127185821533,0.6461687088012695,0.7041730880737305,0.7541713714599609,0.9333443641662598,0.5716452598571777,0.5151357650756836,0.969395637512207,0.5601115226745605,0.5470054149627686,0.5730128288269043,0.5715246200561523,0.6710405349731445,0.510382890701294,0.6369156837463379,0.6706655025482178,0.5237910747528076,0.9759097099304199,0.7316865921020508,0.6109790802001953,0.5504674911499023,0.676506519317627,0.5492343902587891,0.6549904346466064,0.656991720199585,0.5547513961791992,0.9880597591400146,0.4796004295349121,0.6596813201904297,0.6672077178955078,0.563133716583252,0.5988643169403076,0.5228588581085205,0.6055779457092285,0.7215907573699951,0.6602683067321777,0.6009328365325928,0.6714553833007812,0.6289324760437012,0.8179783821105957,0.8904986381530762,0.6611952781677246,0.6977157592773438,0.5437915325164795,0.7485475540161133,0.7190606594085693,0.6011538505554199,0.6401574611663818,0.8041872978210449,0.49162936210632324,0.9387118816375732,0.7331867218017578,0.6261520385742188,0.43659377098083496,0.5971095561981201,0.6746692657470703,0.5921127796173096,0.6711246967315674,0.5049433708190918,0.4956400394439697,0.6366667747497559,0.7657058238983154,0.6501827239990234,0.6601877212524414,0.5656688213348389,0.6921930313110352,0.5816650390625,0.5916697978973389,0.5358169078826904,0.47260403633117676,0.5236032009124756,0.5861120223999023,0.5536103248596191,0.5175983905792236,0.5596005916595459,0.48458290100097656
9,0.552894115447998,0.6594538688659668,0.6914467811584473,0.6774508953094482,0.743962287902832,0.7759621143341064,0.7809617519378662,0.8129615783691406,0.8234798908233643,0.9434807300567627,0.5380911827087402,0.7013401985168457,0.5272910594940186,0.6172897815704346,0.6668016910552979,0.5247852802276611,0.7853178977966309,0.6612932682037354,0.8403279781341553,0.7973213195800781,0.5737788677215576,0.6422624588012695,0.5432484149932861,0.699772834777832,0.6702518463134766,0.6622641086578369,0.641770601272583,0.8147923946380615,0.6252546310424805,0.7815473079681396,0.5438470840454102,0.7865495681762695,0.6588776111602783,0.6698760986328125,0.621361255645752,0.6473588943481445,0.7603809833526611,0.7793910503387451,0.45257091522216797,0.7466154098510742,0.9559118747711182,0.5316066741943359,0.5085902214050293,0.5348238945007324,0.6418695449829102,0.6729023456573486,0.5228738784790039,0.7119085788726807,0.7534298896789551,0.7829861640930176,0.6794707775115967,0.5847070217132568,0.8039603233337402,0.6261718273162842,0.7264540195465088,0.6196513175964355,0.5163266658782959,0.6473598480224609,0.5763218402862549,0.5702707767486572,0.5842704772949219,0.6012783050537109,0.8392999172210693,0.7553040981292725,0.5942807197570801,0.5557513236999512,0.767491340637207,0.8153095245361328,0.738311767578125,0.6772828102111816,0.5559432506561279,0.6174557209014893,0.5854551792144775,0.7814850807189941,0.5297510623931885,0.4072296619415283,0.7312963008880615,0.5242538452148438,0.6249597072601318,1.093226432800293,0.5563044548034668,0.6338160037994385,0.6773068904876709,0.5017919540405273,0.516791582107544,0.7078237533569336,0.6838135719299316,0.9090573787689209,0.5357954502105713,0.559314489364624,0.6115865707397461,0.5745837688446045,0.5765817165374756,0.6195926666259766,0.7221043109893799,0.5859050750732422,0.6540923118591309,0.5028607845306396,0.5573701858520508,0.582526683807373
