"","gfs_full","gfs_reduced"
"GC00000084",72,59
"GC00000085",72,59
"GC00000086",72,59
"GC00000087",72,59
"GC00000080",72,59
"GC00000081",72,59
"GC00000082",72,59
"GC00000083",72,59
"GC00000127",72,59
"GC00000126",72,59
"GC00000125",72,59
"GC00000124",72,59
"GC00000089",72,59
"GC00000121",72,59
"GC00000129",72,59
"GC00000128",72,59
"GC00000020_p2",72,59
"GC00000123",72,59
"GC00000122",72,59
"GC00000158",72,59
"GC00000159",72,59
"GC00000153",72,59
"GC00000150",72,59
"GC00000151",72,59
"GC00000154",72,59
"GC00000155",72,59
"GC00000008_p1",72,59
"GC00000116",72,59
"GC00000117",72,59
"GC00000114",72,59
"GC00000112",72,59
"GC00000113",72,59
"GC00000110",72,59
"GC00000111",72,59
"GC00000118",72,59
"GC00000005_r1_r1_1_p1",72,59
"GC00000014_r1_1_p2",72,59
"GC00000156",72,59
"GC00000157",72,59
"GC00000149",72,59
"GC00000141",72,59
"GC00000143",72,59
"GC00000142",72,59
"GC00000145",72,59
"GC00000068",72,59
"GC00000069",72,59
"GC00000099",72,59
"GC00000098",72,59
"GC00000093",72,59
"GC00000092",72,59
"GC00000091",72,59
"GC00000097",72,59
"GC00000096",72,59
"GC00000095",72,59
"GC00000094",72,59
"GC00000136",72,59
"GC00000101",72,59
"GC00000100",72,59
"GC00000108",72,59
"GC00000012_r1_1_p1",72,59
"GC00000075",72,59
"GC00000074",72,59
"GC00000077",72,59
"GC00000070",72,59
"GC00000073",72,59
"GC00000072",72,59
"GC00000174",72,59
"GC00000175",72,59
"GC00000176",72,59
"GC00000177",72,59
"GC00000079",72,59
"GC00000078",72,59
"GC00000172",72,59
"GC00000173",72,59
"GC00000003_p1",72,59
"GC00000170",72,59
"GC00000107",72,59
"GC00000106",72,59
"GC00000138",72,59
"GC00000139",72,59
"GC00000130",72,59
"GC00000131",72,59
"GC00000137",72,59
"GC00000071",72,59
"GC00000163",72,59
"GC00000162",72,59
"GC00000161",72,59
"GC00000160",72,59
"GC00000167",72,59
"GC00000166",72,59
"GC00000165",72,59
"GC00000169",72,59
"GC00000144",72,59
"GC00000148",72,59
"GC00000146",72,59
"GC00000140",72,59
"GC00000147",72,59
"GC00000059",72,59
"GC00000004_p2_p2",72,59
"GC00000062",72,59
"GC00000063",72,59
"GC00000060",72,59
"GC00000061",72,59
"GC00000015_p2",72,59
"GC00000004_p1",72,59
"GC00000054",72,59
"GC00000050",72,59
"GC00000049",72,59
"GC00000046",72,59
"GC00000031",72,59
"GC00000003_p2",72,59
"GC00000006",72,59
"GC00000016_2",71,59
"GC00000002_r1_r1_2",71,59
"GC00000076_r1_1",71,58
"GC00000105_r1_1",71,58
"GC00000234",71,58
"GC00000233",71,59
"GC00000232",71,59
"GC00000119_2",71,58
"GC00000208",71,59
"GC00000206",71,59
"GC00000207",71,59
"GC00000204",71,59
"GC00000205",71,59
"GC00000202",71,59
"GC00000017_p2",71,59
"GC00000209",71,58
"GC00000198",71,58
"GC00000199",71,59
"GC00000196",71,59
"GC00000197",71,59
"GC00000194",71,59
"GC00000195",71,58
"GC00000192",71,58
"GC00000193",71,58
"GC00000190",71,59
"GC00000191",71,59
"GC00000200",71,58
"GC00000013_r1_1_p1",71,58
"GC00000230",71,58
"GC00000134_r1_1",71,58
"GC00000002_r1_1",71,59
"GC00000178",71,59
"GC00000002_1",71,59
"GC00000179",71,59
"GC00000025_p2",71,58
"GC00000219",71,59
"GC00000215",71,59
"GC00000214",71,59
"GC00000217",71,59
"GC00000211",71,59
"GC00000210",71,58
"GC00000213",71,59
"GC00000212",71,58
"GC00000152_r1_1",71,58
"GC00000109_2",71,59
"GC00000218",71,58
"GC00000189",71,58
"GC00000188",71,59
"GC00000184",71,59
"GC00000187",71,59
"GC00000186",71,58
"GC00000181",71,59
"GC00000180",71,58
"GC00000183",71,58
"GC00000182",71,59
"GC00000171_r1_1",71,58
"GC00000008_p2_p2",71,59
"GC00000222",71,58
"GC00000227",71,58
"GC00000228",71,58
"GC00000220",71,58
"GC00000221",71,59
"GC00000223",71,59
"GC00000224",71,58
"GC00000225",71,58
"GC00000226",71,58
"GC00000229",71,59
"GC00000088",71,59
"GC00000120",71,58
"GC00000115",71,58
"GC00000090",71,58
"GC00000102",71,58
"GC00000013_r1_1_p2",71,58
"GC00000135",71,58
"GC00000103",71,59
"GC00000065_2",71,58
"GC00000133",71,59
"GC00000026_2",71,59
"GC00000058_r1_1",71,58
"GC00000168",71,58
"GC00000064",71,59
"GC00000012_r1_1_p2",71,58
"GC00000051_r1_1",71,58
"GC00000041_3",71,58
"GC00000043",71,58
"GC00000042",71,58
"GC00000009_r1_1_p2",71,58
"GC00000033",71,58
"GC00000001_p2",71,58
"GC00000016_1",70,59
"GC00000018_p2",70,59
"GC00000045_r1_1_p2",70,57
"GC00000268",70,59
"GC00000005_r1_r1_1_p2_p2",70,57
"GC00000237",70,57
"GC00000236",70,57
"GC00000235",70,57
"GC00000238",70,58
"GC00000216_r1_1",70,58
"GC00000242",70,58
"GC00000243",70,59
"GC00000246",70,58
"GC00000247",70,58
"GC00000244",70,57
"GC00000245",70,59
"GC00000248",70,58
"GC00000249",70,59
"GC00000004_p2_p1",70,59
"GC00000231_r1_1",70,57
"GC00000028_p2",70,59
"GC00000251",70,58
"GC00000250",70,58
"GC00000259",70,57
"GC00000201_2",70,57
"GC00000253",70,58
"GC00000257",70,57
"GC00000256",70,58
"GC00000258",70,57
"GC00000017_p1",70,57
"GC00000022_p2",70,57
"GC00000262",70,59
"GC00000132_r1_1",70,57
"GC00000264",70,58
"GC00000265",70,57
"GC00000266",70,58
"GC00000267",70,59
"GC00000260",70,58
"GC00000261",70,59
"GC00000263",70,58
"GC00000269",70,58
"GC00000029_r1_1_p2",70,58
"GC00000019_2",70,59
"GC00000104_2",70,58
"GC00000185",70,58
"GC00000047_r1_r1_1",70,57
"GC00000052_r1_1",70,57
"GC00000048_r1_r1_1",70,57
"GC00000009_r1_1_p1",70,57
"GC00000034_r1_1",70,57
"GC00000279",69,57
"GC00000272",69,57
"GC00000271",69,58
"GC00000275",69,57
"GC00000274",69,58
"GC00000005_r1_r1_1_p2_p1",69,57
"GC00000286",69,57
"GC00000287",69,56
"GC00000284",69,57
"GC00000285",69,57
"GC00000282",69,56
"GC00000280",69,56
"GC00000281",69,57
"GC00000289",69,56
"GC00000015_p1",69,56
"GC00000290",69,56
"GC00000292",69,56
"GC00000018_p1",69,58
"GC00000164_r1_r1_1",69,56
"GC00000019_1",69,56
"GC00000270",69,56
"GC00000252",69,56
"GC00000254",69,57
"GC00000055_r1_r1_1",69,57
"GC00000066_r1_1",69,57
"GC00000053",69,57
"GC00000037",69,56
"GC00000035_2",69,56
"GC00000307",68,57
"GC00000305",68,57
"GC00000304",68,57
"GC00000303",68,57
"GC00000302",68,56
"GC00000300",68,55
"GC00000309",68,57
"GC00000032_p2",68,56
"GC00000288_r1_1",68,56
"GC00000294",68,55
"GC00000297",68,56
"GC00000296",68,56
"GC00000299",68,56
"GC00000298",68,56
"GC00000024_p2",68,55
"GC00000001_p1",68,56
"GC00000007_r1_2",68,56
"GC00000310",68,56
"GC00000021_p2",68,58
"GC00000291_r1_1",68,55
"GC00000278",68,57
"GC00000277",68,56
"GC00000283",68,55
